Testing SD card write operations: 2022-09-12 07:57:14
2022-09-12 07:58:25: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': 'c5d8893b20d9cfdfd10ecce6f030d5c1b30204e6a1f29b77b73d252b4d34b0b3', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-12 07:58:26: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': 'c5d8893b20d9cfdfd10ecce6f030d5c1b30204e6a1f29b77b73d252b4d34b0b3', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-12 07:58:26: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '088594fac9bdde082545d5d605b0ffd5692d5e7e1ba5b324f32eff12deab383e', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-12 07:58:27: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': 'c5d8893b20d9cfdfd10ecce6f030d5c1b30204e6a1f29b77b73d252b4d34b0b3', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-12 07:58:28: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': 'c5d8893b20d9cfdfd10ecce6f030d5c1b30204e6a1f29b77b73d252b4d34b0b3', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-12 07:58:29: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': 'c5d8893b20d9cfdfd10ecce6f030d5c1b30204e6a1f29b77b73d252b4d34b0b3', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-12 07:58:30: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': 'c5d8893b20d9cfdfd10ecce6f030d5c1b30204e6a1f29b77b73d252b4d34b0b3', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-12 07:58:30: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': 'c5d8893b20d9cfdfd10ecce6f030d5c1b30204e6a1f29b77b73d252b4d34b0b3', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-12 07:58:31: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '088594fac9bdde082545d5d605b0ffd5692d5e7e1ba5b324f32eff12deab383e', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-12 07:58:32: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': 'c5d8893b20d9cfdfd10ecce6f030d5c1b30204e6a1f29b77b73d252b4d34b0b3', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-12 07:58:33: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': 'c5d8893b20d9cfdfd10ecce6f030d5c1b30204e6a1f29b77b73d252b4d34b0b3', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-12 07:58:34: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': 'c5d8893b20d9cfdfd10ecce6f030d5c1b30204e6a1f29b77b73d252b4d34b0b3', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-12 07:58:34: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '088594fac9bdde082545d5d605b0ffd5692d5e7e1ba5b324f32eff12deab383e', 'rssi': -55, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-12 07:58:35: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '2fd7b140b8f74e70eac18ca3775d06d62fa7920f8ce1078e6ecda9ff1d744b19', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-12 07:58:36: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': 'c5d8893b20d9cfdfd10ecce6f030d5c1b30204e6a1f29b77b73d252b4d34b0b3', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-12 07:58:37: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': 'c5d8893b20d9cfdfd10ecce6f030d5c1b30204e6a1f29b77b73d252b4d34b0b3', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
