Testing SD card write operations: 2023-01-26 08:32:31
2023-01-26 08:33:02: {'name': None, 'adv_flag': None, 'rssi': -92, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'ef4881f0219f659204d2cfd0174fe66f6094ec41f108708dc0c3700e', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 08:33:03: {'name': None, 'adv_flag': 26, 'rssi': -66, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '924568b794378425bd9a90915ca7a454957e3e18fcac277767047cd3', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 08:33:04: {'name': None, 'adv_flag': 26, 'rssi': -63, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '924568b794378425bd9a90915ca7a454957e3e18fcac277767047cd3', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 08:33:05: {'name': None, 'adv_flag': 26, 'rssi': -65, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '924568b794378425bd9a90915ca7a454957e3e18fcac277767047cd3', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 08:33:05: {'name': None, 'adv_flag': 26, 'rssi': -79, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '924568b794378425bd9a90915ca7a454957e3e18fcac277767047cd3', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 08:33:06: {'name': None, 'adv_flag': None, 'rssi': -92, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'ef4881f0219f659204d2cfd0174fe66f6094ec41f108708dc0c3700e', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 08:33:07: {'name': None, 'adv_flag': 26, 'rssi': -72, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '924568b794378425bd9a90915ca7a454957e3e18fcac277767047cd3', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 08:33:08: {'name': None, 'adv_flag': 26, 'rssi': -69, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '924568b794378425bd9a90915ca7a454957e3e18fcac277767047cd3', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 08:33:09: {'name': None, 'adv_flag': 26, 'rssi': -71, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '924568b794378425bd9a90915ca7a454957e3e18fcac277767047cd3', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 08:33:09: {'name': None, 'adv_flag': 26, 'rssi': -67, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '924568b794378425bd9a90915ca7a454957e3e18fcac277767047cd3', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 08:33:10: {'name': None, 'adv_flag': None, 'rssi': -70, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '9b7fac06ee0617b81bd55465b49eca01b2fd1bbc6c5dc0b684468172', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 08:33:11: {'name': None, 'adv_flag': 26, 'rssi': -88, 'adv_tx_pwr': 0, 'tx_range': 4, 'def_tx_pwr': 0, 'mac': '008f57315e7c103a64f4a53c1ae5af07e54a6b6a5580b78adbcbeace', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 08:33:12: {'name': None, 'adv_flag': 26, 'rssi': -72, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '924568b794378425bd9a90915ca7a454957e3e18fcac277767047cd3', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 08:33:13: {'name': None, 'adv_flag': 26, 'rssi': -63, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '924568b794378425bd9a90915ca7a454957e3e18fcac277767047cd3', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 08:33:13: {'name': None, 'adv_flag': None, 'rssi': -91, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'dfb73a9e15d2dbc46848373269868a60204d40369f01903ce48eb160', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 08:33:14: {'name': None, 'adv_flag': None, 'rssi': -70, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '9b7fac06ee0617b81bd55465b49eca01b2fd1bbc6c5dc0b684468172', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 08:33:15: {'name': None, 'adv_flag': 26, 'rssi': -63, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '924568b794378425bd9a90915ca7a454957e3e18fcac277767047cd3', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 08:33:16: {'name': None, 'adv_flag': 26, 'rssi': -70, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '924568b794378425bd9a90915ca7a454957e3e18fcac277767047cd3', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 08:33:17: {'name': None, 'adv_flag': 26, 'rssi': -63, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '924568b794378425bd9a90915ca7a454957e3e18fcac277767047cd3', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 08:33:17: {'name': None, 'adv_flag': 26, 'rssi': -64, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '924568b794378425bd9a90915ca7a454957e3e18fcac277767047cd3', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 08:33:18: {'name': None, 'adv_flag': 26, 'rssi': -64, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '924568b794378425bd9a90915ca7a454957e3e18fcac277767047cd3', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
