Testing SD card write operations: 1970-01-01 02:00:10
2022-06-27 12:21:57: {'Acceleration': '(-0.4069824, -0.2598877, 1.014771)', 'Roll': '21.85368', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '13.3711'}
2022-06-27 12:21:58: {'Acceleration': '(-0.234375, -0.2508545, 1.033447)', 'Roll': '12.77794', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '13.31813'}
2022-06-27 12:21:58: {'Acceleration': '(-0.1986084, -0.2513428, 1.090698)', 'Roll': '10.32008', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '12.77382'}
2022-06-27 12:21:59: {'Acceleration': '(-0.1402588, -0.2340088, 1.060425)', 'Roll': '8.191665', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '10.99368'}
2022-06-27 12:22:00: {'Acceleration': '(-0.0826416, -0.2150879, 0.9710693)', 'Roll': '4.864362', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '11.30803'}
2022-06-27 12:22:01: {'Acceleration': '(-0.07348633, -0.3325195, 0.928833)', 'Roll': '4.227584', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '12.633'}
2022-06-27 12:22:02: {'Acceleration': '(-0.0357666, -0.2384033, 0.9598389)', 'Roll': '2.134033', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '13.19167'}
2022-06-27 12:22:03: {'Acceleration': '(-0.1179199, -0.2745361, 0.9698486)', 'Roll': '6.932332', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '15.69545'}
2022-06-27 12:22:04: {'Acceleration': '(-0.119873, -0.2331543, 1.101196)', 'Roll': '6.21259', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '12.15008'}
2022-06-27 12:22:04: {'Acceleration': '(-0.2246094, -0.237793, 1.011719)', 'Roll': '12.51709', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '12.92294'}
2022-06-27 12:22:05: {'Acceleration': '(-0.1933594, -0.267334, 0.9221191)', 'Roll': '12.19772', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '15.24239'}
2022-06-27 12:22:06: {'Acceleration': '(-0.168335, -0.2321777, 0.920166)', 'Roll': '10.36704', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '13.93927'}
2022-06-27 12:22:07: {'Acceleration': '(-0.1516113, -0.3135986, 0.9718018)', 'Roll': '9.14809', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '17.40668'}
2022-06-27 12:22:08: {'Acceleration': '(-0.2529297, -0.2623291, 0.927124)', 'Roll': '15.25959', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '15.26824'}
2022-06-27 12:22:09: {'Acceleration': '(-0.3046875, -0.3756104, 1.001099)', 'Roll': '15.61108', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '15.31876'}
2022-06-27 12:22:10: {'Acceleration': '(-0.2875977, -0.2858887, 0.9425049)', 'Roll': '16.96914', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '18.01484'}
2022-06-27 12:22:10: {'Acceleration': '(-0.2751465, -0.2952881, 0.9213867)', 'Roll': '16.98849', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '16.03033'}
2022-06-27 12:22:11: {'Acceleration': '(-0.3446045, -0.2935791, 0.9013672)', 'Roll': '20.92251', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '16.79363'}
2022-06-27 12:22:12: {'Acceleration': '(-0.3303223, -0.3294678, 0.8951416)', 'Roll': '20.25491', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '19.04989'}
2022-06-27 12:22:13: {'Acceleration': '(-0.2802734, -0.2043457, 0.885376)', 'Roll': '17.56563', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '15.72389'}
2022-06-27 12:22:14: {'Acceleration': '(-0.2662354, -0.2180176, 1.00293)', 'Roll': '14.86672', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '11.86548'}
