Testing SD card write operations: 2022-06-27 12:20:13
2022-06-27 12:21:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f739fa2b6cd0c2c625304cd75a14c2d75a98db058b876c2b1af595b63b623819', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-27 12:21:05: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '08d73a3640c9bb9509bb3b2d8f19d34b0ff6df325524552048f6adc3e88c69ef', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:21:06: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '874de6fafa43707048b195133e64cb9d821835e0f548f2fc35bf9cd2c0a01920', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-27 12:21:07: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '08d73a3640c9bb9509bb3b2d8f19d34b0ff6df325524552048f6adc3e88c69ef', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:21:07: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '08d73a3640c9bb9509bb3b2d8f19d34b0ff6df325524552048f6adc3e88c69ef', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:21:08: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '08d73a3640c9bb9509bb3b2d8f19d34b0ff6df325524552048f6adc3e88c69ef', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:21:09: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '08d73a3640c9bb9509bb3b2d8f19d34b0ff6df325524552048f6adc3e88c69ef', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:21:10: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '08d73a3640c9bb9509bb3b2d8f19d34b0ff6df325524552048f6adc3e88c69ef', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:21:11: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '08d73a3640c9bb9509bb3b2d8f19d34b0ff6df325524552048f6adc3e88c69ef', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:21:11: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '08d73a3640c9bb9509bb3b2d8f19d34b0ff6df325524552048f6adc3e88c69ef', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:21:12: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '1d742050bd4d3d7d2ab6366cb7e7b94ab4af50587c22124ea31208888fe7c362', 'rssi': -95, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:21:13: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '08d73a3640c9bb9509bb3b2d8f19d34b0ff6df325524552048f6adc3e88c69ef', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:21:14: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '08d73a3640c9bb9509bb3b2d8f19d34b0ff6df325524552048f6adc3e88c69ef', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:21:15: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '08d73a3640c9bb9509bb3b2d8f19d34b0ff6df325524552048f6adc3e88c69ef', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:21:15: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '08d73a3640c9bb9509bb3b2d8f19d34b0ff6df325524552048f6adc3e88c69ef', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:21:16: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '08d73a3640c9bb9509bb3b2d8f19d34b0ff6df325524552048f6adc3e88c69ef', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:21:17: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'cc97bea02ac774881a1ab154fa7399b4979abe2a3487de4ca7144f6003a905c0', 'rssi': -98, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:21:18: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '4aface4bde99486bd2ef02cc51e8eca8217f1798ce3cd8cadaed84029378f7d4', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
