Testing SD card write operations: 2022-04-30 12:30:54
2022-04-30 12:31:41: {'ssid':'iPhone', 'bssid':b'~\xd4\x9eM\x18\xbe', 'sec':3, 'channel':6, 'rssi':-35}
2022-04-30 12:31:41: {'ssid':'SFR_D778', 'bssid':b'la\xf4\t\xd7~', 'sec':4, 'channel':1, 'rssi':-55}
2022-04-30 12:31:41: {'ssid':'SFR_8480', 'bssid':b'\xcc-\x1bz\x84\x86', 'sec':4, 'channel':6, 'rssi':-75}
2022-04-30 12:31:41: {'ssid':'SFR WiFi Mobile', 'bssid':b'r-\x1bz\x84\x85', 'sec':5, 'channel':6, 'rssi':-76}
2022-04-30 12:31:41: {'ssid':'SFR WiFi FON', 'bssid':b'r-\x1bz\x84\x87', 'sec':0, 'channel':6, 'rssi':-78}
2022-04-30 12:31:41: {'ssid':'MULTIPASS', 'bssid':b'\xec\x10{?\xf9\xf2', 'sec':3, 'channel':1, 'rssi':-81}
2022-04-30 12:31:41: {'ssid':'Livebox-A82B', 'bssid':b'`\xce\x86g\xe4\x88', 'sec':4, 'channel':11, 'rssi':-87}
2022-04-30 12:31:43: {'ssid':'iPhone', 'bssid':b'~\xd4\x9eM\x18\xbe', 'sec':3, 'channel':6, 'rssi':-36}
2022-04-30 12:31:43: {'ssid':'SFR_D778', 'bssid':b'la\xf4\t\xd7~', 'sec':4, 'channel':1, 'rssi':-62}
2022-04-30 12:31:43: {'ssid':'SFR_8480', 'bssid':b'\xcc-\x1bz\x84\x86', 'sec':4, 'channel':6, 'rssi':-80}
2022-04-30 12:31:43: {'ssid':'SFR WiFi FON', 'bssid':b'r-\x1bz\x84\x87', 'sec':0, 'channel':6, 'rssi':-80}
2022-04-30 12:31:43: {'ssid':'SFR WiFi Mobile', 'bssid':b'r-\x1bz\x84\x85', 'sec':5, 'channel':6, 'rssi':-81}
2022-04-30 12:31:43: {'ssid':'MULTIPASS', 'bssid':b'\xec\x10{?\xf9\xf2', 'sec':3, 'channel':1, 'rssi':-85}
2022-04-30 12:31:43: {'ssid':'Livebox-A82B', 'bssid':b'`\xce\x86g\xe4\x88', 'sec':4, 'channel':11, 'rssi':-87}
2022-04-30 12:31:45: {'ssid':'iPhone', 'bssid':b'~\xd4\x9eM\x18\xbe', 'sec':3, 'channel':6, 'rssi':-40}
