Testing SD card write operations: 2022-07-07 18:45:01
2022-07-07 18:45:41: {'adv_flag': 2, 'def_tx_pwr': 3, 'mac': '4f4c9c69ad9ff2a329208d2a2b83027f6095b68394385d1a8072d55a17dcdb42', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 18:45:41: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0f54985d774c7b95e5d54159e74e1b7b96d21bd4b1d69f6ff5f06d05283d74b1', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 18:45:42: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd503f08e223433edd4b95ee4509c9869f4553313fe8324807dc80ec1ae5aebfa', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 18:45:43: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0f54985d774c7b95e5d54159e74e1b7b96d21bd4b1d69f6ff5f06d05283d74b1', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 18:45:44: {'adv_flag': 2, 'def_tx_pwr': 3, 'mac': '62357e5f288fc7229ea1244f5cb0e2d2d4d7880a9bdd4253ec8af2ecd42a1927', 'rssi': -89, 'name': 'BB70', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 18:45:45: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '8262f524b6e1dd17f2a3041d5301f60ef77fade889f81b4dffe33e5572107df3', 'rssi': -66, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 18:45:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5afe866efaf7eb0baa027605a155330691a3ac471b8f129b78a2b3ac405187ba', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 18:45:46: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e8d70bf21c84e52899028da6ad49d3868e35f3e7ee892f40ac4fc2d73055c4b3', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 18:45:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'de72a8b604f5689cabc38ce6032567d62b22bbfcd35e1726dfffa2ef807fcb4c', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 18:45:48: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '00e9f270eacfc97940e25493eb2d2b442838d8dddb981ce72a955e0851a6ee92', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 18:45:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '8e9ef51054be055485374776cbf82d11939dcb73f090978824ee6f2252d24825', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 18:45:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0f54985d774c7b95e5d54159e74e1b7b96d21bd4b1d69f6ff5f06d05283d74b1', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 18:45:50: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e8d70bf21c84e52899028da6ad49d3868e35f3e7ee892f40ac4fc2d73055c4b3', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 18:45:51: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd503f08e223433edd4b95ee4509c9869f4553313fe8324807dc80ec1ae5aebfa', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 18:45:52: {'adv_flag': 2, 'def_tx_pwr': 3, 'mac': '4f6f2ce7401ca16ac85737a4b4074aedbd164b800dbeb504929b91a72e943d87', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': -20, 'adv_tx_pwr': 3}
2022-07-07 18:45:53: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1efab68142dfbe9da970609820a34d5a281675f06b1e8a31e27812a97b7f3b95', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 18:45:53: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '8e9ef51054be055485374776cbf82d11939dcb73f090978824ee6f2252d24825', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 18:45:54: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '520d44a0c627a8a3f7c262a5ff954e0ef1386358a76d1fe04ab2c2c2a56b62c7', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 18:45:55: {'adv_flag': 2, 'def_tx_pwr': 3, 'mac': '4f6f2ce7401ca16ac85737a4b4074aedbd164b800dbeb504929b91a72e943d87', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': -20, 'adv_tx_pwr': 3}
2022-07-07 18:45:56: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1efab68142dfbe9da970609820a34d5a281675f06b1e8a31e27812a97b7f3b95', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 18:45:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'de72a8b604f5689cabc38ce6032567d62b22bbfcd35e1726dfffa2ef807fcb4c', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 18:45:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0f54985d774c7b95e5d54159e74e1b7b96d21bd4b1d69f6ff5f06d05283d74b1', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 18:45:58: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5344745ad123527e4fde38a9f5650bf35826feecc2e7990ea33168c5102a67db', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 18:45:59: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5afaa54e80c400ddd48f18512e7970f04568bf2db0f7f68bd54dc20421570c96', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 18:46:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'de72a8b604f5689cabc38ce6032567d62b22bbfcd35e1726dfffa2ef807fcb4c', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 18:46:01: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '8262f524b6e1dd17f2a3041d5301f60ef77fade889f81b4dffe33e5572107df3', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 18:46:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '520d44a0c627a8a3f7c262a5ff954e0ef1386358a76d1fe04ab2c2c2a56b62c7', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
