Testing SD card write operations: 2022-07-01 13:03:13
2022-07-01 13:04:14: {'Acceleration': '(-0.6143799, -0.2962646, 0.6967773)', 'Roll': '41.40407', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '20.52174'}
2022-07-01 13:04:15: {'Acceleration': '(-0.6885986, 0.05480957, 0.9262695)', 'Roll': '38.35016', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-3.674797'}
2022-07-01 13:04:16: {'Acceleration': '(-0.7176514, -0.1239014, 0.8717041)', 'Roll': '40.23599', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '9.491682'}
2022-07-01 13:04:17: {'Acceleration': '(-0.4642334, -0.213623, 0.7202148)', 'Roll': '32.80486', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '10.0995'}
2022-07-01 13:04:18: {'Acceleration': '(-1.042603, -0.3986816, 0.5668945)', 'Roll': '56.20838', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '13.37994'}
2022-07-01 13:04:18: {'Acceleration': '(-0.5726318, -0.2583008, 0.885376)', 'Roll': '32.89345', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '15.19692'}
2022-07-01 13:04:19: {'Acceleration': '(-0.5894775, -0.4219971, 0.8342285)', 'Roll': '35.24556', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '25.17118'}
2022-07-01 13:04:20: {'Acceleration': '(-0.9788818, -0.07836914, 0.6275635)', 'Roll': '52.29457', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.112126'}
2022-07-01 13:04:21: {'Acceleration': '(-0.9844971, -0.2935791, 0.449585)', 'Roll': '65.4555', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '15.17664'}
2022-07-01 13:04:22: {'Acceleration': '(-0.5474854, -0.015625, 1.15625)', 'Roll': '25.64504', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '2.485789'}
2022-07-01 13:04:23: {'Acceleration': '(-0.3061523, -0.07519531, 0.3582764)', 'Roll': '35.03829', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-0.7431772'}
2022-07-01 13:04:24: {'Acceleration': '(-0.5198975, -0.2242432, 1.353149)', 'Roll': '20.42636', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '5.40687'}
2022-07-01 13:04:25: {'Acceleration': '(-0.4306641, -0.2382813, 0.9576416)', 'Roll': '24.21408', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '12.78556'}
2022-07-01 13:04:26: {'Acceleration': '(-0.5091553, 0.2562256, 1.025513)', 'Roll': '26.40387', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-12.61423'}
2022-07-01 13:04:27: {'Acceleration': '(-0.4147949, 0.06652832, 0.7022705)', 'Roll': '32.02291', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '2.618482'}
2022-07-01 13:04:27: {'Acceleration': '(-0.6196289, -0.04736328, 0.6070557)', 'Roll': '45.58725', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '3.125307'}
2022-07-01 13:04:28: {'Acceleration': '(-0.6513672, -0.5338135, 1.11792)', 'Roll': '30.22764', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '22.42009'}
2022-07-01 13:04:29: {'Acceleration': '(-0.1843262, 0.02026367, 0.5916748)', 'Roll': '17.30353', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.872791'}
