Testing SD card write operations: 2022-07-01 13:02:44
2022-07-01 13:03:30: {'ssid':'P51', 'bssid':'d763505c5bd96209707e23aa15b8dd035019cabb4a0fe279c055d31e', 'sec':3, 'channel':6, 'rssi':-69}
2022-07-01 13:03:30: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-73}
2022-07-01 13:03:30: {'ssid':'P51', 'bssid':'08800c63be5f78aa966f1ffc13d99701af7c1acb529c799b43992da2', 'sec':3, 'channel':1, 'rssi':-86}
2022-07-01 13:03:32: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-35}
2022-07-01 13:03:32: {'ssid':'P51', 'bssid':'d763505c5bd96209707e23aa15b8dd035019cabb4a0fe279c055d31e', 'sec':3, 'channel':6, 'rssi':-67}
2022-07-01 13:03:32: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-84}
2022-07-01 13:03:32: {'ssid':'P51', 'bssid':'3907bc36de0613f292d31910d024c67648d43a9cbcf853f7c058ecd3', 'sec':3, 'channel':11, 'rssi':-93}
2022-07-01 13:03:34: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-39}
2022-07-01 13:03:34: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-59}
2022-07-01 13:03:34: {'ssid':'P51', 'bssid':'d763505c5bd96209707e23aa15b8dd035019cabb4a0fe279c055d31e', 'sec':3, 'channel':6, 'rssi':-66}
2022-07-01 13:03:34: {'ssid':'P51', 'bssid':'7ea85b9e8e14227aa4c4b1d10d5bd339835a78fddfaadf39e79a4371', 'sec':3, 'channel':11, 'rssi':-91}
2022-07-01 13:03:36: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-37}
2022-07-01 13:03:36: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-67}
2022-07-01 13:03:36: {'ssid':'P51', 'bssid':'d763505c5bd96209707e23aa15b8dd035019cabb4a0fe279c055d31e', 'sec':3, 'channel':6, 'rssi':-68}
2022-07-01 13:03:36: {'ssid':'P51', 'bssid':'08800c63be5f78aa966f1ffc13d99701af7c1acb529c799b43992da2', 'sec':3, 'channel':1, 'rssi':-87}
2022-07-01 13:03:37: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-48}
2022-07-01 13:03:37: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-68}
2022-07-01 13:03:37: {'ssid':'P51', 'bssid':'d763505c5bd96209707e23aa15b8dd035019cabb4a0fe279c055d31e', 'sec':3, 'channel':6, 'rssi':-69}
2022-07-01 13:03:39: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-37}
2022-07-01 13:03:39: {'ssid':'P51', 'bssid':'d763505c5bd96209707e23aa15b8dd035019cabb4a0fe279c055d31e', 'sec':3, 'channel':6, 'rssi':-75}
2022-07-01 13:03:39: {'ssid':'P53', 'bssid':'de71fbc485849bef79d6b0d94f9f3898acc013a3156eb77dcd529c6e', 'sec':0, 'channel':8, 'rssi':-80}
2022-07-01 13:03:39: {'ssid':'P51', 'bssid':'08800c63be5f78aa966f1ffc13d99701af7c1acb529c799b43992da2', 'sec':3, 'channel':1, 'rssi':-86}
2022-07-01 13:03:39: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-87}
2022-07-01 13:03:41: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-34}
2022-07-01 13:03:41: {'ssid':'P51', 'bssid':'d763505c5bd96209707e23aa15b8dd035019cabb4a0fe279c055d31e', 'sec':3, 'channel':6, 'rssi':-69}
2022-07-01 13:03:41: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-84}
2022-07-01 13:03:41: {'ssid':'P51', 'bssid':'08800c63be5f78aa966f1ffc13d99701af7c1acb529c799b43992da2', 'sec':3, 'channel':1, 'rssi':-86}
2022-07-01 13:03:43: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-35}
2022-07-01 13:03:43: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-81}
2022-07-01 13:03:43: {'ssid':'P51', 'bssid':'3907bc36de0613f292d31910d024c67648d43a9cbcf853f7c058ecd3', 'sec':3, 'channel':11, 'rssi':-96}
2022-07-01 13:03:45: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-35}
2022-07-01 13:03:45: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-66}
2022-07-01 13:03:45: {'ssid':'P53', 'bssid':'de71fbc485849bef79d6b0d94f9f3898acc013a3156eb77dcd529c6e', 'sec':0, 'channel':8, 'rssi':-84}
2022-07-01 13:03:47: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-33}
2022-07-01 13:03:47: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-66}
2022-07-01 13:03:49: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-35}
2022-07-01 13:03:49: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-78}
2022-07-01 13:03:51: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-39}
2022-07-01 13:03:51: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-77}
2022-07-01 13:03:51: {'ssid':'P51', 'bssid':'7ea85b9e8e14227aa4c4b1d10d5bd339835a78fddfaadf39e79a4371', 'sec':3, 'channel':11, 'rssi':-86}
2022-07-01 13:03:53: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-71}
2022-07-01 13:03:53: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-87}
2022-07-01 13:03:53: {'ssid':'P51', 'bssid':'7ea85b9e8e14227aa4c4b1d10d5bd339835a78fddfaadf39e79a4371', 'sec':3, 'channel':11, 'rssi':-88}
2022-07-01 13:03:54: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-42}
2022-07-01 13:03:54: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-70}
2022-07-01 13:03:56: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-42}
2022-07-01 13:03:56: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-71}
2022-07-01 13:03:56: {'ssid':'P53', 'bssid':'de71fbc485849bef79d6b0d94f9f3898acc013a3156eb77dcd529c6e', 'sec':0, 'channel':8, 'rssi':-87}
2022-07-01 13:03:58: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-37}
2022-07-01 13:03:58: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-65}
2022-07-01 13:03:58: {'ssid':'P51', 'bssid':'92b8399fbc7e7bdf911c6daf611234422fc48b4cd02d3de778ab8509', 'sec':3, 'channel':1, 'rssi':-88}
2022-07-01 13:04:00: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-36}
2022-07-01 13:04:00: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-74}
2022-07-01 13:04:00: {'ssid':'P51', 'bssid':'08800c63be5f78aa966f1ffc13d99701af7c1acb529c799b43992da2', 'sec':3, 'channel':1, 'rssi':-89}
2022-07-01 13:04:02: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-44}
2022-07-01 13:04:02: {'ssid':'P51', 'bssid':'7ea85b9e8e14227aa4c4b1d10d5bd339835a78fddfaadf39e79a4371', 'sec':3, 'channel':11, 'rssi':-87}
2022-07-01 13:04:04: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-54}
2022-07-01 13:04:06: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-54}
2022-07-01 13:04:06: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-57}
2022-07-01 13:04:06: {'ssid':'P51', 'bssid':'7ea85b9e8e14227aa4c4b1d10d5bd339835a78fddfaadf39e79a4371', 'sec':3, 'channel':11, 'rssi':-83}
2022-07-01 13:04:08: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-49}
2022-07-01 13:04:08: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-58}
