Testing SD card write operations: 2022-05-21 10:26:42
2022-05-21 10:26:54: {'ssid':'P61', 'bssid':'6757e50fa194a9a9ab921adeec5f85610c44fb6dc6befb9ae9a1f352b270d2fe', 'sec':0, 'channel':9, 'rssi':-71}
2022-05-21 10:26:54: {'ssid':'P615', 'bssid':'2bb287fd381ed201fb03f25ec1a14f2785308046e57460d8ee3be7737d747c2e', 'sec':3, 'channel':6, 'rssi':-78}
2022-05-21 10:26:54: {'ssid':'P66', 'bssid':'ff45f76b201777f64eee6b6ec73ecec595012ecf102503b183859f9ec06323d5', 'sec':3, 'channel':13, 'rssi':-79}
2022-05-21 10:26:54: {'ssid':'P68', 'bssid':'3cce479af858732893f43aee2797afc04cdca2531a7c0cee6b9186d6e4fee039', 'sec':3, 'channel':13, 'rssi':-79}
2022-05-21 10:26:54: {'ssid':'P618', 'bssid':'54981616c6519f0ee0099f85cd4c5f970c5adb09e65111b27dafe59ca0f138e6', 'sec':0, 'channel':8, 'rssi':-81}
2022-05-21 10:26:54: {'ssid':'P61', 'bssid':'469e21b03cb9761dd6b913bdef60d862f4ef500f7ad0d96d37f78ce82a08e431', 'sec':0, 'channel':8, 'rssi':-84}
2022-05-21 10:26:54: {'ssid':'P61', 'bssid':'88e9094b352969fb4ccec603824148b50c89dfdc48fd8ac685eab14514397538', 'sec':0, 'channel':9, 'rssi':-84}
2022-05-21 10:26:54: {'ssid':'P66', 'bssid':'2328c350612c91e51414cbceec6a0cfc1d11b0f2071119ba628b1db9cdbe132f', 'sec':3, 'channel':13, 'rssi':-90}
2022-05-21 10:26:54: {'ssid':'P68', 'bssid':'30a4f58f44c5108c77d607a88671b07cd8fcda4ba62713cba5da1240dbd02de2', 'sec':3, 'channel':13, 'rssi':-90}
2022-05-21 10:26:56: {'ssid':'P60', 'bssid':'62bcc1ff7a123a2b1432f3f8b08fbcfa3c0696ea037b38442444be8b3e2bc357', 'sec':3, 'channel':6, 'rssi':-50}
2022-05-21 10:26:56: {'ssid':'P62', 'bssid':'3ab234bab04dfb1dcfe022f68e4caa9488a3853e6f10c9d19611d3fafb69d4ea', 'sec':3, 'channel':4, 'rssi':-73}
2022-05-21 10:26:56: {'ssid':'P61', 'bssid':'6757e50fa194a9a9ab921adeec5f85610c44fb6dc6befb9ae9a1f352b270d2fe', 'sec':0, 'channel':9, 'rssi':-73}
2022-05-21 10:26:56: {'ssid':'P61', 'bssid':'7994e1d55e270023b1edd16e8675b8d5e5119c564d78cc2df6d90de2db9014d8', 'sec':0, 'channel':9, 'rssi':-78}
2022-05-21 10:26:56: {'ssid':'P615', 'bssid':'2bb287fd381ed201fb03f25ec1a14f2785308046e57460d8ee3be7737d747c2e', 'sec':3, 'channel':6, 'rssi':-80}
2022-05-21 10:26:56: {'ssid':'P69', 'bssid':'c4412f717d3e43144835e976eb8589a5f6322ba06088b9c541015e827a21bf48', 'sec':5, 'channel':13, 'rssi':-81}
2022-05-21 10:26:56: {'ssid':'P614', 'bssid':'575ae1a3a64cfa3c707c36849179f72832b08aa1f1f5f8295b22ad9b51a890d9', 'sec':3, 'channel':6, 'rssi':-82}
2022-05-21 10:26:56: {'ssid':'P63', 'bssid':'46e8a11f21617b51d9d75a495992bc6e1d1ad7e492f315b407418b8d946e61f5', 'sec':3, 'channel':13, 'rssi':-82}
2022-05-21 10:26:56: {'ssid':'P610', 'bssid':'32fe81291b4dc24ad44bdbb43a889ca2444026f8f237d3338fa5407d42f84dbb', 'sec':3, 'channel':6, 'rssi':-83}
2022-05-21 10:26:56: {'ssid':'P619', 'bssid':'377c20c82307c4373c868c8f9f98848275af31a55f96bda163c60cb49d92e45e', 'sec':4, 'channel':1, 'rssi':-84}
2022-05-21 10:26:56: {'ssid':'P620', 'bssid':'4b79f80f70f5a1a311207dba58311ab5f8cecf7325a7d5a9d33aeb75a0de23f5', 'sec':3, 'channel':6, 'rssi':-85}
2022-05-21 10:26:56: {'ssid':'P67', 'bssid':'c485765176fdb6e7958769647c4792939948e26812f8a9a282a68648aad9fa7d', 'sec':0, 'channel':5, 'rssi':-88}
2022-05-21 10:26:56: {'ssid':'P621', 'bssid':'ff7524319190f6712afb792bbcfb2bfc902f0eca669481f1aad78cc8dbbb8538', 'sec':5, 'channel':9, 'rssi':-90}
2022-05-21 10:26:58: {'ssid':'P68', 'bssid':'d43c2ee594be2c39d07d913f416107ef6bb45ce0dba30635ab8f930eeaa9159d', 'sec':3, 'channel':5, 'rssi':-66}
2022-05-21 10:26:58: {'ssid':'P69', 'bssid':'a089d15d5b3c14f4ae925df1492d14f6b322a6d8c8674958ecd0276007339c17', 'sec':5, 'channel':5, 'rssi':-66}
2022-05-21 10:26:58: {'ssid':'P63', 'bssid':'d83c430665271fcc02e67e6beac22cb7760e9f211f2518819ed7eed44ce9d316', 'sec':3, 'channel':5, 'rssi':-66}
2022-05-21 10:26:58: {'ssid':'P67', 'bssid':'661be8fb21873d3185eb4f4320d25b613e6fd633cf88673f8231e9c31757898c', 'sec':0, 'channel':5, 'rssi':-66}
2022-05-21 10:26:58: {'ssid':'P66', 'bssid':'4337135f0f2d3d618c6ef84149499ebffbbae61bda73b3f915a736539e705bfe', 'sec':3, 'channel':5, 'rssi':-66}
2022-05-21 10:26:58: {'ssid':'P620', 'bssid':'4b79f80f70f5a1a311207dba58311ab5f8cecf7325a7d5a9d33aeb75a0de23f5', 'sec':3, 'channel':6, 'rssi':-77}
2022-05-21 10:26:58: {'ssid':'P67', 'bssid':'46855325792676cdde4939f086fc0ac008fac09d4a6e61b2bcc055fbd9d372d5', 'sec':0, 'channel':13, 'rssi':-80}
2022-05-21 10:26:58: {'ssid':'P619', 'bssid':'377c20c82307c4373c868c8f9f98848275af31a55f96bda163c60cb49d92e45e', 'sec':4, 'channel':1, 'rssi':-81}
2022-05-21 10:27:00: {'ssid':'P622', 'bssid':'50e1b790bdb99d2cebe0f3d5c191b0a1e307973059780013eaaa7079ad193173', 'sec':3, 'channel':6, 'rssi':-70}
2022-05-21 10:27:00: {'ssid':'P620', 'bssid':'4b79f80f70f5a1a311207dba58311ab5f8cecf7325a7d5a9d33aeb75a0de23f5', 'sec':3, 'channel':6, 'rssi':-77}
2022-05-21 10:27:00: {'ssid':'P619', 'bssid':'377c20c82307c4373c868c8f9f98848275af31a55f96bda163c60cb49d92e45e', 'sec':4, 'channel':1, 'rssi':-81}
2022-05-21 10:27:00: {'ssid':'P64', 'bssid':'49c2f85516da1ac110f55d19d8954f030a5a87fb1e5aca647533edd58dbf7c3a', 'sec':2, 'channel':11, 'rssi':-83}
2022-05-21 10:27:00: {'ssid':'P623', 'bssid':'a334c78e9666a4b46d4e59eb4815521bb6fc1c9b7109cdc4787e1aa2678ae087', 'sec':5, 'channel':11, 'rssi':-83}
2022-05-21 10:27:00: {'ssid':'P621', 'bssid':'ff7524319190f6712afb792bbcfb2bfc902f0eca669481f1aad78cc8dbbb8538', 'sec':5, 'channel':9, 'rssi':-89}
2022-05-21 10:27:00: {'ssid':'P612', 'bssid':'00bf3ef74648cf35880434b6ac53ca6577165882e38222ebf2f91087fa430b64', 'sec':5, 'channel':9, 'rssi':-89}
