Testing SD card write operations: 2022-05-21 10:26:43
2022-05-21 10:27:26: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'769c4656ee03', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-21 10:27:27: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'f9dcf8847372', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:27:27: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1b6030c70774', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:27:28: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'33b2059fc293', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:27:29: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': b'5cf821ffe28b', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:27:30: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'33b2059fc293', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:27:31: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'52f0631fa2b6', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-21 10:27:31: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'de2dffe2e780', 'rssi': -57, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:27:32: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'f49d3096ba4b', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:27:33: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'50dc42a3a2ac', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:27:34: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1b6030c70774', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:27:35: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'6c2ae0cd0acd', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-05-21 10:27:35: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1b6030c70774', 'rssi': -95, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:27:36: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'50dc42a3a2ac', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:27:37: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'699e26060537', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-21 10:27:38: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': b'5cf821ffdf7c', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:27:39: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7e6eddc74bc6', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-21 10:27:39: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'50dc42a3a2ac', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:27:40: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'f49d3096ba4b', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:27:41: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'c95dda4fecb4', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:27:42: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'33b2059fc293', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:27:43: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'de2dffe2e780', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:27:43: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7e6eddc74bc6', 'rssi': -53, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-21 10:27:44: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': b'5cf821ffe5ff', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:27:45: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': b'5cf821ffe5ff', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:27:46: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1b6030c70774', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:27:47: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'50dc42a3a2ac', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:27:47: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'33b2059fc293', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:27:48: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'f9323b06c2c6', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:27:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7e6eddc74bc6', 'rssi': -38, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-21 10:27:50: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'33b2059fc293', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:27:51: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': b'd3fe0d4db575', 'rssi': -86, 'name': 'GUI', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:27:51: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'50dc42a3a2ac', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:27:52: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'33b2059fc293', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:27:53: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7e6eddc74bc6', 'rssi': -49, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-21 10:27:54: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': b'5cf821ffe2a4', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:27:55: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'50dc42a3a2ac', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:27:55: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'50dc42a3a2ac', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:27:56: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': b'0268eb83f569', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:27:57: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1b6030c70774', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:27:58: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7e6eddc74bc6', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-21 10:27:59: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': b'f3330ac585cf', 'rssi': -85, 'name': '846B217BAE7633A8E9', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-05-21 10:27:59: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'74e7503bc2a2', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 26, 'adv_tx_pwr': 3}
2022-05-21 10:28:00: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1671d55e3ddc', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:28:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'5c5d2887d76c', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-05-21 10:28:02: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'fd62405ba1ca', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:28:02: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'01f9bf2a7aff', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:28:03: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'6fb57807d981', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-21 10:28:04: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'50dc42a3a2ac', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:28:05: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'50dc42a3a2ac', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:28:06: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'50dc42a3a2ac', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:28:06: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'01f9bf2a7aff', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:28:07: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': b'5cf821ffda5d', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:28:08: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'19c91a2d7d33', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:28:09: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'01f9bf2a7aff', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:28:10: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'f8932eedff05', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:28:10: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': b'f3330ac585cf', 'rssi': -79, 'name': '846B217BAE7633A8E9', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
