Testing SD card write operations: 2022-06-25 14:23:00
2022-06-25 14:23:45: {'adv_flag': 2, 'def_tx_pwr': 3, 'mac': '1891ae7cab427b5b4947569d37104e18930217b00d433ff933408a1c4706c79e', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 14:23:46: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '7b0e244396b4f4e7809c280405471d0d4c784a6db03c2ebb1a24776a95f7d073', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-06-25 14:23:46: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '912454845b4a1fdf1d77e4379b62594ec791de340e4a4522cfaacf9d2899a186', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-25 14:23:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e1b5a6ed3c8f2b33d3024ab64bab4fb4bc08c25166fdbeee2155c13073f51888', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 14:23:48: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '1f0dfcdfabec84f43263b030a3b1299bfa69174c7460fc52fadde1f0e0c96ec3', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 14:23:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '7b0e244396b4f4e7809c280405471d0d4c784a6db03c2ebb1a24776a95f7d073', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 14:23:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '7b0e244396b4f4e7809c280405471d0d4c784a6db03c2ebb1a24776a95f7d073', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 14:23:50: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd5b0e05ae7ad732317b93c85b00eeb9dd8029239708f52447f4932c7fd587407', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-25 14:23:51: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '912454845b4a1fdf1d77e4379b62594ec791de340e4a4522cfaacf9d2899a186', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-25 14:23:52: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'fbbbbd1658dc393ee356c7557b804924a34bd9379e7375bd8e93852939ce93d1', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 14:23:53: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd5b0e05ae7ad732317b93c85b00eeb9dd8029239708f52447f4932c7fd587407', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-25 14:23:53: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3df88128d5ba885eb4767886993f263bd4502ef9ff6d1770de5f53b1d1f9fe5f', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 14:23:54: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9ebce1d3aefb6f99180f42a978becc2afbe0fde9769b5df04b772b13a5f4ba51', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-06-25 14:23:55: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '7b0e244396b4f4e7809c280405471d0d4c784a6db03c2ebb1a24776a95f7d073', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 14:23:56: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'fbbbbd1658dc393ee356c7557b804924a34bd9379e7375bd8e93852939ce93d1', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 14:23:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '912454845b4a1fdf1d77e4379b62594ec791de340e4a4522cfaacf9d2899a186', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-25 14:23:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '912454845b4a1fdf1d77e4379b62594ec791de340e4a4522cfaacf9d2899a186', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-25 14:23:58: {'adv_flag': 2, 'def_tx_pwr': 3, 'mac': '1891ae7cab427b5b4947569d37104e18930217b00d433ff933408a1c4706c79e', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 14:23:59: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3db51d0b2e64c651281dc6717353a97aab8d21fc0754d566cb6a241367e8c6b1', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-25 14:24:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '7b0e244396b4f4e7809c280405471d0d4c784a6db03c2ebb1a24776a95f7d073', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-06-25 14:24:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e1b5a6ed3c8f2b33d3024ab64bab4fb4bc08c25166fdbeee2155c13073f51888', 'rssi': -53, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 14:24:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9ebce1d3aefb6f99180f42a978becc2afbe0fde9769b5df04b772b13a5f4ba51', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-06-25 14:24:02: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '1f0dfcdfabec84f43263b030a3b1299bfa69174c7460fc52fadde1f0e0c96ec3', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 14:24:03: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3df88128d5ba885eb4767886993f263bd4502ef9ff6d1770de5f53b1d1f9fe5f', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 14:24:04: {'adv_flag': 2, 'def_tx_pwr': 3, 'mac': 'b9895e5b31b1f68d32f25078dd4f10e700dd29a39a672bff40fc15c09300b7c9', 'rssi': -72, 'name': 'BB40', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 14:24:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9ebce1d3aefb6f99180f42a978becc2afbe0fde9769b5df04b772b13a5f4ba51', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-06-25 14:24:05: {'adv_flag': 2, 'def_tx_pwr': 3, 'mac': '1891ae7cab427b5b4947569d37104e18930217b00d433ff933408a1c4706c79e', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 14:24:06: {'adv_flag': 2, 'def_tx_pwr': 3, 'mac': '1891ae7cab427b5b4947569d37104e18930217b00d433ff933408a1c4706c79e', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 14:24:07: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '7b0e244396b4f4e7809c280405471d0d4c784a6db03c2ebb1a24776a95f7d073', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-06-25 14:24:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '912454845b4a1fdf1d77e4379b62594ec791de340e4a4522cfaacf9d2899a186', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
