Testing SD card write operations: 2022-07-08 08:57:37
2022-07-08 08:58:19: {'ssid':'AndroidAPEEB8', 'bssid':b'\xba\xd7\xaf\x97\xee\xb8', 'sec':3, 'channel':11, 'rssi':-88}
2022-07-08 08:58:21: {'ssid':'iPhone', 'bssid':b'\x06\xaf\x8d\x99\xdd\x15', 'sec':3, 'channel':6, 'rssi':-48}
2022-07-08 08:58:21: {'ssid':'ups', 'bssid':b'\xfc\n\x81\xbd\xa0\xb1', 'sec':0, 'channel':6, 'rssi':-72}
2022-07-08 08:58:21: {'ssid':'Asot', 'bssid':b'n\xc7\xec\x94>\xa6', 'sec':3, 'channel':11, 'rssi':-81}
2022-07-08 08:58:21: {'ssid':'ups', 'bssid':b'\xfc\n\x81\xbfE\xa1', 'sec':0, 'channel':1, 'rssi':-93}
2022-07-08 08:58:23: {'ssid':'iPhone', 'bssid':b'\x06\xaf\x8d\x99\xdd\x15', 'sec':3, 'channel':6, 'rssi':-45}
2022-07-08 08:58:23: {'ssid':'ups', 'bssid':b'\xfc\n\x81\xbd\xa0\xb1', 'sec':0, 'channel':6, 'rssi':-66}
2022-07-08 08:58:23: {'ssid':'eduroam', 'bssid':b'\xfc\n\x81\xbd\xc7P', 'sec':5, 'channel':1, 'rssi':-67}
2022-07-08 08:58:23: {'ssid':'ups', 'bssid':b'\xfc\n\x81\xbd\xc7Q', 'sec':0, 'channel':1, 'rssi':-70}
2022-07-08 08:58:23: {'ssid':'eduroam', 'bssid':b'\xfc\n\x81\xbd\xa0\xb0', 'sec':5, 'channel':6, 'rssi':-74}
2022-07-08 08:58:23: {'ssid':'Asot', 'bssid':b'n\xc7\xec\x94>\xa6', 'sec':3, 'channel':11, 'rssi':-82}
2022-07-08 08:58:25: {'ssid':'iPhone', 'bssid':b'\x06\xaf\x8d\x99\xdd\x15', 'sec':3, 'channel':6, 'rssi':-44}
2022-07-08 08:58:25: {'ssid':'eduroam', 'bssid':b'\xfc\n\x81\xbd\xa0\xb0', 'sec':5, 'channel':6, 'rssi':-64}
2022-07-08 08:58:25: {'ssid':'ups', 'bssid':b'\xfc\n\x81\xbd\xa0\xb1', 'sec':0, 'channel':6, 'rssi':-72}
2022-07-08 08:58:27: {'ssid':'iPhone', 'bssid':b'\x06\xaf\x8d\x99\xdd\x15', 'sec':3, 'channel':6, 'rssi':-48}
2022-07-08 08:58:27: {'ssid':'eduroam', 'bssid':b'\xfc\n\x81\xbd\xc7P', 'sec':5, 'channel':1, 'rssi':-63}
2022-07-08 08:58:27: {'ssid':'ups', 'bssid':b'\xfc\n\x81\xbd\xc7Q', 'sec':0, 'channel':1, 'rssi':-64}
2022-07-08 08:58:27: {'ssid':'eduroam', 'bssid':b'\xfc\n\x81\xbd\xa0\xb0', 'sec':5, 'channel':6, 'rssi':-64}
2022-07-08 08:58:27: {'ssid':'ups', 'bssid':b'\xfc\n\x81\xbd\xa0\xb1', 'sec':0, 'channel':6, 'rssi':-73}
2022-07-08 08:58:27: {'ssid':'Asot', 'bssid':b'n\xc7\xec\x94>\xa6', 'sec':3, 'channel':11, 'rssi':-76}
2022-07-08 08:58:27: {'ssid':'eduroam', 'bssid':b'\xfc\n\x81%\x82\x90', 'sec':5, 'channel':6, 'rssi':-94}
2022-07-08 08:58:28: {'ssid':'iPhone', 'bssid':b'\x06\xaf\x8d\x99\xdd\x15', 'sec':3, 'channel':6, 'rssi':-46}
2022-07-08 08:58:28: {'ssid':'eduroam', 'bssid':b'\xfc\n\x81\xbd\xc7P', 'sec':5, 'channel':1, 'rssi':-64}
2022-07-08 08:58:28: {'ssid':'ups', 'bssid':b'\xfc\n\x81\xbd\xc7Q', 'sec':0, 'channel':1, 'rssi':-66}
2022-07-08 08:58:28: {'ssid':'ups', 'bssid':b'\xfc\n\x81\xbd\xa0\xb1', 'sec':0, 'channel':6, 'rssi':-66}
2022-07-08 08:58:28: {'ssid':'AndroidAPEEB8', 'bssid':b'\xba\xd7\xaf\x97\xee\xb8', 'sec':3, 'channel':11, 'rssi':-86}
2022-07-08 08:58:30: {'ssid':'iPhone', 'bssid':b'\x06\xaf\x8d\x99\xdd\x15', 'sec':3, 'channel':6, 'rssi':-48}
2022-07-08 08:58:30: {'ssid':'eduroam', 'bssid':b'\xfc\n\x81\xbd\xc7P', 'sec':5, 'channel':1, 'rssi':-64}
2022-07-08 08:58:30: {'ssid':'eduroam', 'bssid':b'\xfc\n\x81\xbd\xa0\xb0', 'sec':5, 'channel':6, 'rssi':-64}
2022-07-08 08:58:30: {'ssid':'ups', 'bssid':b'\xfc\n\x81\xbd\xc7Q', 'sec':0, 'channel':1, 'rssi':-65}
2022-07-08 08:58:30: {'ssid':'ups', 'bssid':b'\xfc\n\x81\xbd\xa0\xb1', 'sec':0, 'channel':6, 'rssi':-72}
2022-07-08 08:58:32: {'ssid':'iPhone', 'bssid':b'\x06\xaf\x8d\x99\xdd\x15', 'sec':3, 'channel':6, 'rssi':-44}
2022-07-08 08:58:32: {'ssid':'eduroam', 'bssid':b'\xfc\n\x81\xbd\xc7P', 'sec':5, 'channel':1, 'rssi':-64}
2022-07-08 08:58:32: {'ssid':'ups', 'bssid':b'\xfc\n\x81\xbd\xc7Q', 'sec':0, 'channel':1, 'rssi':-66}
2022-07-08 08:58:32: {'ssid':'eduroam', 'bssid':b'\xfc\n\x81\xbd\xa0\xb0', 'sec':5, 'channel':6, 'rssi':-68}
2022-07-08 08:58:32: {'ssid':'ups', 'bssid':b'\xfc\n\x81\xbd\xa0\xb1', 'sec':0, 'channel':6, 'rssi':-74}
2022-07-08 08:58:32: {'ssid':'eduroam', 'bssid':b'\xfc\n\x81\xbd\xd5\x80', 'sec':5, 'channel':11, 'rssi':-96}
2022-07-08 08:58:34: {'ssid':'iPhone', 'bssid':b'\x06\xaf\x8d\x99\xdd\x15', 'sec':3, 'channel':6, 'rssi':-48}
2022-07-08 08:58:34: {'ssid':'eduroam', 'bssid':b'\xfc\n\x81\xbd\xa0\xb0', 'sec':5, 'channel':6, 'rssi':-64}
