Testing SD card write operations: 2022-07-08 08:57:37
2022-07-08 08:58:58: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:58:59: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:59:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'5217d473e4f3', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-08 08:59:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:59:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:59:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:59:03: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:59:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:59:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'6db0263966d7', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 08:59:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:59:06: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:59:07: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7a8cf3a1efca', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 5, 'adv_tx_pwr': 3}
2022-07-08 08:59:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
