Testing SD card write operations: 2022-06-27 09:35:23
2022-06-27 09:36:54: {'Acceleration': '(-0.07580566, -0.1619873, 1.024292)', 'Roll': '4.232622', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '8.96254'}
2022-06-27 09:36:55: {'Acceleration': '(-0.1013184, -0.1252441, 0.9766846)', 'Roll': '5.92251', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '7.268799'}
2022-06-27 09:36:56: {'Acceleration': '(-0.08850098, -0.1375732, 0.9724121)', 'Roll': '4.800545', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '8.024673'}
2022-06-27 09:36:57: {'Acceleration': '(-0.07800293, -0.1846924, 1.036621)', 'Roll': '4.303243', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '8.181458'}
2022-06-27 09:36:58: {'Acceleration': '(-0.08557129, -0.1497803, 1.018921)', 'Roll': '4.965756', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '8.536703'}
2022-06-27 09:36:59: {'Acceleration': '(-0.09985352, -0.1243896, 0.9611816)', 'Roll': '5.930966', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '7.376979'}
2022-06-27 09:37:00: {'Acceleration': '(-0.09509277, -0.1414795, 0.9416504)', 'Roll': '5.766478', 'battery_voltage': 4.491004, 'battery_percentage': 82.43363, 'Pitch': '8.501961'}
2022-06-27 09:37:00: {'Acceleration': '(-0.06665039, -0.3123779, 0.8695068)', 'Roll': '4.383327', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '19.70793'}
2022-06-27 09:37:01: {'Acceleration': '(-0.1098633, -0.15625, 0.9714355)', 'Roll': '7.380636', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '8.400066'}
2022-06-27 09:37:02: {'Acceleration': '(-0.1231689, -0.1853027, 0.8867188)', 'Roll': '7.908021', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '9.468372'}
2022-06-27 09:37:03: {'Acceleration': '(-0.1318359, -0.1408691, 0.9389648)', 'Roll': '8.250659', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '9.221061'}
