Testing SD card write operations: 2022-06-27 09:35:17
2022-06-27 09:36:02: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': 'eb44cc8ba096b8abb5a15cd50aa9b893e96dead8c9b9d598102211520be5ad7a', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': -11, 'adv_tx_pwr': 3}
2022-06-27 09:36:03: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1baad3db119003aa8c1618fea4bd0e3b1766647414b8441b7fce63e14104b5d7', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-27 09:36:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1450d30866759ec26a644b2b7ad3ac2a16a13cf643ac3cdd068474707a6b42f8', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-27 09:36:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '52f92b142a3676a19b15afa39da4297726bfd73b9e035bc3e029a55f0d93d2b0', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-27 09:36:05: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': 'eb44cc8ba096b8abb5a15cd50aa9b893e96dead8c9b9d598102211520be5ad7a', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': -11, 'adv_tx_pwr': 3}
2022-06-27 09:36:06: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '52f92b142a3676a19b15afa39da4297726bfd73b9e035bc3e029a55f0d93d2b0', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-27 09:36:07: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1450d30866759ec26a644b2b7ad3ac2a16a13cf643ac3cdd068474707a6b42f8', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-27 09:36:08: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'f4b42cabe0b47e881b87e20d32a5c3287e8a16576b30e8af762e44576e0733e4', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 09:36:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '52f92b142a3676a19b15afa39da4297726bfd73b9e035bc3e029a55f0d93d2b0', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-27 09:36:09: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '94e57dcdeaabfdafa43d7b912261445e99cee543836cec05de1f0a7c01c0be2a', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
