Testing SD card write operations: 2023-01-29 12:56:16
2023-01-29 12:56:59: {'name': None, 'adv_flag': 26, 'rssi': -84, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '631785885861c7e60be510081632efbcfbf2868e27f6f5f896a64ffd', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:57:00: {'name': None, 'adv_flag': None, 'rssi': -70, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'a5e1cb26505f88ca678c18fafb4f4cd3ed7536a3f220fc7390483ad3', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:57:01: {'name': None, 'adv_flag': 26, 'rssi': -84, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '631785885861c7e60be510081632efbcfbf2868e27f6f5f896a64ffd', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:57:01: {'name': None, 'adv_flag': 26, 'rssi': -86, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '631785885861c7e60be510081632efbcfbf2868e27f6f5f896a64ffd', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:57:02: {'name': None, 'adv_flag': 26, 'rssi': -83, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '631785885861c7e60be510081632efbcfbf2868e27f6f5f896a64ffd', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:57:03: {'name': None, 'adv_flag': 26, 'rssi': -91, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '631785885861c7e60be510081632efbcfbf2868e27f6f5f896a64ffd', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:57:04: {'name': None, 'adv_flag': None, 'rssi': -73, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'a5e1cb26505f88ca678c18fafb4f4cd3ed7536a3f220fc7390483ad3', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:57:04: {'name': None, 'adv_flag': 26, 'rssi': -82, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '631785885861c7e60be510081632efbcfbf2868e27f6f5f896a64ffd', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:57:05: {'name': None, 'adv_flag': 26, 'rssi': -84, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '631785885861c7e60be510081632efbcfbf2868e27f6f5f896a64ffd', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:57:06: {'name': None, 'adv_flag': 26, 'rssi': -86, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '631785885861c7e60be510081632efbcfbf2868e27f6f5f896a64ffd', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:57:07: {'name': None, 'adv_flag': 26, 'rssi': -82, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '631785885861c7e60be510081632efbcfbf2868e27f6f5f896a64ffd', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:57:08: {'name': None, 'adv_flag': None, 'rssi': -74, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'a5e1cb26505f88ca678c18fafb4f4cd3ed7536a3f220fc7390483ad3', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:57:08: {'name': None, 'adv_flag': None, 'rssi': -85, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'd6ad44414a5e6b376f0013d4ea0b856370bfecaf510782f7c464b342', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:57:09: {'name': None, 'adv_flag': 26, 'rssi': -85, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '631785885861c7e60be510081632efbcfbf2868e27f6f5f896a64ffd', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:57:10: {'name': None, 'adv_flag': 26, 'rssi': -82, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '631785885861c7e60be510081632efbcfbf2868e27f6f5f896a64ffd', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:57:11: {'name': None, 'adv_flag': 26, 'rssi': -85, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '07018889dd64b9ab79a3f36dab1e07a6b442c12dd52067f8b015b60b', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:57:12: {'name': None, 'adv_flag': None, 'rssi': -72, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'a5e1cb26505f88ca678c18fafb4f4cd3ed7536a3f220fc7390483ad3', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:57:12: {'name': None, 'adv_flag': 26, 'rssi': -83, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '631785885861c7e60be510081632efbcfbf2868e27f6f5f896a64ffd', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:57:13: {'name': None, 'adv_flag': None, 'rssi': -84, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '4deb801c3d72181e767304635813ca5fc658032dbbeacde56577fa3a', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:57:14: {'name': None, 'adv_flag': 26, 'rssi': -80, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '631785885861c7e60be510081632efbcfbf2868e27f6f5f896a64ffd', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:57:15: {'name': None, 'adv_flag': None, 'rssi': -78, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'd6ad44414a5e6b376f0013d4ea0b856370bfecaf510782f7c464b342', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:57:15: {'name': None, 'adv_flag': 26, 'rssi': -86, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '07018889dd64b9ab79a3f36dab1e07a6b442c12dd52067f8b015b60b', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:57:16: {'name': None, 'adv_flag': None, 'rssi': -79, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'd6ad44414a5e6b376f0013d4ea0b856370bfecaf510782f7c464b342', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:57:17: {'name': None, 'adv_flag': None, 'rssi': -88, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '69acf2d3f3fd9d074a2519484cea27c58c8d80fef8a2526b92cbfbc9', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:57:18: {'name': None, 'adv_flag': None, 'rssi': -71, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'a5e1cb26505f88ca678c18fafb4f4cd3ed7536a3f220fc7390483ad3', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:57:19: {'name': None, 'adv_flag': 26, 'rssi': -81, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '631785885861c7e60be510081632efbcfbf2868e27f6f5f896a64ffd', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:57:19: {'name': None, 'adv_flag': 26, 'rssi': -86, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '631785885861c7e60be510081632efbcfbf2868e27f6f5f896a64ffd', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:57:20: {'name': None, 'adv_flag': 26, 'rssi': -84, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '631785885861c7e60be510081632efbcfbf2868e27f6f5f896a64ffd', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:57:21: {'name': None, 'adv_flag': 26, 'rssi': -82, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '631785885861c7e60be510081632efbcfbf2868e27f6f5f896a64ffd', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:57:22: {'name': None, 'adv_flag': None, 'rssi': -73, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'a5e1cb26505f88ca678c18fafb4f4cd3ed7536a3f220fc7390483ad3', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:57:22: {'name': None, 'adv_flag': 26, 'rssi': -85, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '07018889dd64b9ab79a3f36dab1e07a6b442c12dd52067f8b015b60b', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:57:23: {'name': None, 'adv_flag': 26, 'rssi': -89, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '631785885861c7e60be510081632efbcfbf2868e27f6f5f896a64ffd', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
