Testing SD card write operations 120: 2023-01-29 12:56:16
2023-01-29 12:56:21: {'ssid':'H1120', 'bssid':'dd481eca59da252e0e94860ff70d8ba631ad84ebf59c0ba8af40a348feed7892', 'sec':5, 'channel':6, 'rssi':-95}
2023-01-29 12:56:21: {'ssid':'H1133', 'bssid':'3fbd79eed4bea0058a74f62750215e247db81f547242fdddd85d0489f01f1ee5', 'sec':3, 'channel':11, 'rssi':-95}
2023-01-29 12:56:21: {'ssid':'H1127', 'bssid':'7d818a0792c497c9e71c4777c47a1d4849b9ce3f3cc44961b78b0478340f396c', 'sec':3, 'channel':11, 'rssi':-96}
2023-01-29 12:56:21: {'ssid':'H119', 'bssid':'748b8d246c846c463a57e9e4bbc8b44668407bb8d2e4fdcc0c749d36dbcd3394', 'sec':5, 'channel':11, 'rssi':-96}
2023-01-29 12:56:21: {'ssid':'H1123', 'bssid':'df503cf13f977193765591c651820b6225856abd077db6e75ca30e5eb0643b14', 'sec':3, 'channel':11, 'rssi':-96}
2023-01-29 12:56:21: {'ssid':'H1134', 'bssid':'1c6d20172e70bc8b8974f8e49e5fd72e183a3b5375379254565f976f18da5811', 'sec':3, 'channel':11, 'rssi':-97}
2023-01-29 12:56:26: {'ssid':'H110', 'bssid':'a071de1e263a6103ed381cc01b743d41fc3274ac64f3a3cdb320dfde96ed563b', 'sec':3, 'channel':6, 'rssi':-52}
2023-01-29 12:56:26: {'ssid':'H113', 'bssid':'e4bc0987f176d483629f48d5101efe02975272742f9906cbdb63ada580773a46', 'sec':4, 'channel':11, 'rssi':-71}
2023-01-29 12:56:26: {'ssid':'H112', 'bssid':'1b5251655b028d29a0ec992d44346ec54497609a397c4234a70d539cb9a9ea62', 'sec':3, 'channel':1, 'rssi':-76}
2023-01-29 12:56:26: {'ssid':'H111', 'bssid':'59a6d6186b95fb597434ea364ff7831cce4c688e342b4ffaa34606f4d5c8abdb', 'sec':4, 'channel':6, 'rssi':-76}
2023-01-29 12:56:26: {'ssid':'H114', 'bssid':'df3239ac0b5d1fbadc418445e5c1d6a8384612d748bb8bc06756f77a7e8add11', 'sec':4, 'channel':6, 'rssi':-77}
2023-01-29 12:56:26: {'ssid':'H116', 'bssid':'c52e1f71f12641e54f0ebe1aa9beeca75764065b0554949e4a69be8bda202b88', 'sec':4, 'channel':1, 'rssi':-81}
2023-01-29 12:56:26: {'ssid':'H117', 'bssid':'466f7281214a9e0d6ce91c88cfb387cbee1e0837f070ff9c232f26d9b0622c31', 'sec':3, 'channel':11, 'rssi':-82}
2023-01-29 12:56:26: {'ssid':'H1114', 'bssid':'4b41f48953cdc990e41984ea03c7d43b11780e5905ccb03f07cc244897435ab0', 'sec':3, 'channel':6, 'rssi':-88}
2023-01-29 12:56:26: {'ssid':'H115', 'bssid':'0e3af7721c86f38f70a3cd48515ca605eeb07162ca935fc4caa82c6f96d3209d', 'sec':4, 'channel':6, 'rssi':-89}
2023-01-29 12:56:26: {'ssid':'H1111', 'bssid':'3da366d789a27241e56057b423b3d81ab67ecf9121a8d0442c1dd2a6d14dbb2e', 'sec':3, 'channel':6, 'rssi':-90}
2023-01-29 12:56:26: {'ssid':'H118', 'bssid':'633a40bec8bdbb20269f6534cb75c5093f2f577a277337c20a9deb5e0ae20cc9', 'sec':3, 'channel':11, 'rssi':-90}
2023-01-29 12:56:26: {'ssid':'H1135', 'bssid':'844ec6c505a94055039cdc9d0b6df8c0e02da80df8823340e511b904c12da38c', 'sec':2, 'channel':1, 'rssi':-91}
2023-01-29 12:56:26: {'ssid':'H1124', 'bssid':'1d7aec9d81d261353fa9fe04bc0876c7d71bc97f7f2c54c7e9ad196147f01a5f', 'sec':3, 'channel':11, 'rssi':-91}
2023-01-29 12:56:26: {'ssid':'H1119', 'bssid':'d00db19591294436b57a8204785dad15dd9a850bc0ed1786bcc3385ba71054ac', 'sec':3, 'channel':6, 'rssi':-92}
