Testing SD card write operations: 2023-01-27 08:06:59
2023-01-27 08:07:43: {'name': None, 'adv_flag': 26, 'rssi': -74, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:44: {'name': None, 'adv_flag': 26, 'rssi': -73, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:45: {'name': None, 'adv_flag': 26, 'rssi': -77, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:46: {'name': None, 'adv_flag': 26, 'rssi': -75, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:46: {'name': None, 'adv_flag': 26, 'rssi': -75, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:47: {'name': None, 'adv_flag': None, 'rssi': -85, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '23f1b317d487b19cd1e6b120a9ac950e8db775344b94ae2daf9c6a48', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:48: {'name': None, 'adv_flag': 26, 'rssi': -81, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:49: {'name': None, 'adv_flag': 26, 'rssi': -73, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:50: {'name': None, 'adv_flag': 26, 'rssi': -76, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:50: {'name': None, 'adv_flag': 26, 'rssi': -74, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:51: {'name': None, 'adv_flag': None, 'rssi': -75, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '23f1b317d487b19cd1e6b120a9ac950e8db775344b94ae2daf9c6a48', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:52: {'name': None, 'adv_flag': 26, 'rssi': -78, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:53: {'name': None, 'adv_flag': 26, 'rssi': -80, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:53: {'name': None, 'adv_flag': None, 'rssi': -80, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '23f1b317d487b19cd1e6b120a9ac950e8db775344b94ae2daf9c6a48', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:54: {'name': None, 'adv_flag': 26, 'rssi': -80, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:55: {'name': None, 'adv_flag': 26, 'rssi': -76, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:56: {'name': None, 'adv_flag': 26, 'rssi': -82, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:57: {'name': None, 'adv_flag': 26, 'rssi': -76, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:57: {'name': None, 'adv_flag': None, 'rssi': -73, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '23f1b317d487b19cd1e6b120a9ac950e8db775344b94ae2daf9c6a48', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:58: {'name': None, 'adv_flag': 26, 'rssi': -75, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:59: {'name': None, 'adv_flag': 26, 'rssi': -74, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:08:00: {'name': None, 'adv_flag': 26, 'rssi': -81, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:08:00: {'name': None, 'adv_flag': 26, 'rssi': -73, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:08:01: {'name': None, 'adv_flag': None, 'rssi': -76, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '23f1b317d487b19cd1e6b120a9ac950e8db775344b94ae2daf9c6a48', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:08:02: {'name': None, 'adv_flag': 26, 'rssi': -73, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:08:03: {'name': None, 'adv_flag': 26, 'rssi': -80, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:08:04: {'name': None, 'adv_flag': 26, 'rssi': -77, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:08:04: {'name': None, 'adv_flag': 26, 'rssi': -81, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:08:05: {'name': None, 'adv_flag': 26, 'rssi': -80, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:08:06: {'name': None, 'adv_flag': 26, 'rssi': -74, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:08:07: {'name': None, 'adv_flag': 26, 'rssi': -77, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:08:07: {'name': None, 'adv_flag': 26, 'rssi': -74, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:08:08: {'name': None, 'adv_flag': 26, 'rssi': -78, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:08:09: {'name': None, 'adv_flag': 26, 'rssi': -73, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:08:10: {'name': None, 'adv_flag': 26, 'rssi': -79, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:08:11: {'name': None, 'adv_flag': 26, 'rssi': -73, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:08:11: {'name': None, 'adv_flag': 26, 'rssi': -80, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
