Testing SD card write operations: 2022-05-28 17:26:05
2022-05-28 17:27:35: {'Acceleration': '(0.3807373, 0.3654785, 0.7319336)', 'Roll': '-27.48255', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-20.48796'}
2022-05-28 17:27:36: {'Acceleration': '(0.4335938, 0.3520508, 0.6525879)', 'Roll': '-28.07606', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-22.44611'}
2022-05-28 17:27:37: {'Acceleration': '(0.4853516, 0.3293457, 0.7056885)', 'Roll': '-34.61313', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-22.17522'}
2022-05-28 17:27:38: {'Acceleration': '(0.515625, 0.3690186, 0.7498779)', 'Roll': '-34.51288', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-22.07225'}
2022-05-28 17:27:39: {'Acceleration': '(0.4753418, 0.3166504, 0.4675293)', 'Roll': '-35.74551', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-21.92515'}
2022-05-28 17:27:39: {'Acceleration': '(0.496582, 0.3964844, 0.7062988)', 'Roll': '-34.37466', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-23.52651'}
2022-05-28 17:27:40: {'Acceleration': '(0.4798584, 0.350708, 0.7264404)', 'Roll': '-33.4472', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-22.73147'}
2022-05-28 17:27:41: {'Acceleration': '(0.5218506, 0.3499756, 0.6715088)', 'Roll': '-38.81594', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-22.21051'}
2022-05-28 17:27:42: {'Acceleration': '(0.5820313, 0.4387207, 0.8189697)', 'Roll': '-36.6685', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-23.10199'}
2022-05-28 17:27:43: {'Acceleration': '(0.5805664, 0.3874512, 0.6931152)', 'Roll': '-39.95017', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-23.19663'}
2022-05-28 17:27:44: {'Acceleration': '(0.5588379, 0.4157715, 0.8070068)', 'Roll': '-34.70191', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-21.33774'}
2022-05-28 17:27:45: {'Acceleration': '(0.5252686, 0.3571777, 0.4245605)', 'Roll': '-33.60014', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-21.39591'}
2022-05-28 17:27:45: {'Acceleration': '(0.5718994, 0.3486328, 0.6414795)', 'Roll': '-41.71802', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-21.04574'}
2022-05-28 17:27:46: {'Acceleration': '(0.5622559, 0.4176025, 0.6851807)', 'Roll': '-40.84839', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-27.06628'}
2022-05-28 17:27:47: {'Acceleration': '(0.564209, 0.4359131, 0.7481689)', 'Roll': '-37.02066', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-24.9474'}
2022-05-28 17:27:48: {'Acceleration': '(0.5469971, 0.3580322, 0.6131592)', 'Roll': '-41.73604', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-22.09744'}
2022-05-28 17:27:49: {'Acceleration': '(0.5014648, 0.3737793, 0.6915283)', 'Roll': '-42.92568', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-25.25568'}
2022-05-28 17:27:50: {'Acceleration': '(0.559082, 0.3702393, 0.6934814)', 'Roll': '-38.87562', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-22.56947'}
2022-05-28 17:27:50: {'Acceleration': '(0.6206055, 0.4577637, 0.9090576)', 'Roll': '-34.321', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-28.9208'}
2022-05-28 17:27:51: {'Acceleration': '(0.5994873, 0.5384521, 0.8393555)', 'Roll': '-33.40065', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-26.21815'}
2022-05-28 17:27:52: {'Acceleration': '(0.6306152, 0.4455566, 0.7126465)', 'Roll': '-41.50536', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-25.81823'}
2022-05-28 17:27:53: {'Acceleration': '(0.6442871, 0.4058838, 0.7568359)', 'Roll': '-41.59242', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-22.68131'}
