Testing SD card write operations: 2022-07-01 09:08:52
2022-07-01 09:09:55: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'bcb77baf9b541a4357b35d150b9845c92f2d9cb1b8cbd978e1f247f12dd2b2b9', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:56: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '939d16a32d5763dac0951f784e0d582d8d2944531b153e9fd5a09ea4cdbab80c', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:57: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '36f633ebab0d47e80107d450a7ba3de0b70a17f29eacf4f7806cdfefb9cbd426', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '939d16a32d5763dac0951f784e0d582d8d2944531b153e9fd5a09ea4cdbab80c', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:58: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'bcb77baf9b541a4357b35d150b9845c92f2d9cb1b8cbd978e1f247f12dd2b2b9', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:59: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '36f633ebab0d47e80107d450a7ba3de0b70a17f29eacf4f7806cdfefb9cbd426', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:10:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '939d16a32d5763dac0951f784e0d582d8d2944531b153e9fd5a09ea4cdbab80c', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:10:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '939d16a32d5763dac0951f784e0d582d8d2944531b153e9fd5a09ea4cdbab80c', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:10:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '939d16a32d5763dac0951f784e0d582d8d2944531b153e9fd5a09ea4cdbab80c', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:10:02: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e9f33a1c6f0f148576b525bc0152f4add3d1c1a4004c1730cdf8dd271102a4a7', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:10:03: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '939d16a32d5763dac0951f784e0d582d8d2944531b153e9fd5a09ea4cdbab80c', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
