Testing SD card write operations: 2022-09-11 16:46:45
2022-09-11 16:49:46: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-49}
2022-09-11 16:49:48: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-43}
2022-09-11 16:49:50: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-35}
2022-09-11 16:49:52: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-40}
2022-09-11 16:49:54: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-42}
2022-09-11 16:49:55: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-37}
2022-09-11 16:49:57: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-43}
2022-09-11 16:49:59: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-44}
2022-09-11 16:49:59: {'ssid':'BS34', 'bssid':'3b7681b52542d6d00f55aacf894013c83269f35a2d1d7f42b6e87381', 'sec':4, 'channel':6, 'rssi':-93}
2022-09-11 16:50:01: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-43}
2022-09-11 16:50:03: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-41}
2022-09-11 16:50:05: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-42}
2022-09-11 16:50:07: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-45}
2022-09-11 16:50:09: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-40}
2022-09-11 16:50:10: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-37}
2022-09-11 16:50:12: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-34}
2022-09-11 16:50:14: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-16}
2022-09-11 16:50:16: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-16}
2022-09-11 16:50:18: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-16}
2022-09-11 16:50:20: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-16}
2022-09-11 16:50:22: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-17}
2022-09-11 16:50:23: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-16}
2022-09-11 16:50:25: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-16}
2022-09-11 16:50:27: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-16}
2022-09-11 16:50:29: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-23}
2022-09-11 16:50:31: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-17}
2022-09-11 16:50:34: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-17}
2022-09-11 16:50:36: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-17}
2022-09-11 16:50:38: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-17}
2022-09-11 16:50:40: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-29}
2022-09-11 16:50:42: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-17}
2022-09-11 16:50:44: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-17}
2022-09-11 16:50:46: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-17}
2022-09-11 16:50:47: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-17}
2022-09-11 16:50:49: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-17}
2022-09-11 16:50:51: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-17}
2022-09-11 16:50:53: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-17}
