Testing SD card write operations: 2022-09-11 16:47:24
2022-09-11 16:48:59: {'Acceleration': '(-0.03515625, -0.5576172, 0.8442383)', 'Roll': '2.557478', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '33.57766'}
2022-09-11 16:49:00: {'Acceleration': '(-0.02453613, -0.5582275, 0.8388672)', 'Roll': '1.611071', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '33.6931'}
2022-09-11 16:49:00: {'Acceleration': '(-0.03149414, -0.5574951, 0.8438721)', 'Roll': '2.137343', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '33.42593'}
2022-09-11 16:49:01: {'Acceleration': '(-0.02844238, -0.5477295, 0.8428955)', 'Roll': '1.932636', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '33.00168'}
2022-09-11 16:49:02: {'Acceleration': '(-0.02319336, -0.5472412, 0.8482666)', 'Roll': '1.335478', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '32.82014'}
2022-09-11 16:49:03: {'Acceleration': '(-0.02416992, -0.5452881, 0.8468018)', 'Roll': '1.634926', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '32.88877'}
2022-09-11 16:49:04: {'Acceleration': '(0.0002441406, -0.5357666, 0.8614502)', 'Roll': '-0.09003614', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '32.01712'}
2022-09-11 16:49:05: {'Acceleration': '(0.004150391, -0.5388184, 0.8590088)', 'Roll': '-0.5228615', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '32.20289'}
2022-09-11 16:49:06: {'Acceleration': '(0.01074219, -0.5543213, 0.848999)', 'Roll': '-0.7249115', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '33.13889'}
2022-09-11 16:49:07: {'Acceleration': '(-0.007446289, -0.5571289, 0.8359375)', 'Roll': '0.5103607', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '33.68129'}
2022-09-11 16:49:07: {'Acceleration': '(-0.001220703, -0.5656738, 0.838501)', 'Roll': '0.1000653', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '34.10558'}
2022-09-11 16:49:08: {'Acceleration': '(0.003417969, -0.5614014, 0.84021)', 'Roll': '-0.2330776', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '33.74936'}
2022-09-11 16:49:09: {'Acceleration': '(0.003417969, -0.5626221, 0.838623)', 'Roll': '-0.2335186', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '33.85696'}
2022-09-11 16:49:10: {'Acceleration': '(-0.007202148, -0.5614014, 0.8271484)', 'Roll': '0.4988733', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '33.39479'}
2022-09-11 16:49:11: {'Acceleration': '(-0.00390625, -0.5657959, 0.8414307)', 'Roll': '0.2659874', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '33.91744'}
2022-09-11 16:49:12: {'Acceleration': '(0.0144043, -0.5643311, 0.8303223)', 'Roll': '-0.9938582', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '34.1981'}
