Testing SD card write operations: 2022-07-08 06:08:26
2022-07-08 06:09:06: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'dfd349789bc1', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:09:07: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'c04640bccd27', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:09:08: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'dfd349789bc1', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:09:09: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e85378d12494', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:09:09: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'c04640bccd27', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:09:10: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'f3c49663fd40', 'rssi': -96, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:09:11: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'dfd349789bc1', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:09:12: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'dfd349789bc1', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:09:13: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'dca8ab82f8d8', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:09:14: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'dfd349789bc1', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:09:15: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e85378d12494', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:09:16: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'c04640bccd27', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:09:17: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'f3c49663fd40', 'rssi': -97, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:09:17: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'dfd349789bc1', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:09:18: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'dfd349789bc1', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:09:20: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'dfd349789bc1', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:09:22: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'f3c49663fd40', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:09:22: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'dfd349789bc1', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:09:24: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'dfd349789bc1', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:09:25: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e5ab21e8b26f', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:09:26: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'dfd349789bc1', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:09:27: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e5ab21e8b26f', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:09:28: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'dfd349789bc1', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:09:30: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e85378d12494', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:09:31: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e5ab21e8b26f', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:09:36: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e85378d12494', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:09:37: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e5ab21e8b26f', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:09:39: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e5ab21e8b26f', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:09:41: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'dca8ab82f8d8', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:09:42: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e5ab21e8b26f', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:09:44: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e5ab21e8b26f', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:09:48: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'dca8ab82f8d8', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:09:48: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'c04640bccd27', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:09:49: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e5ab21e8b26f', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:09:50: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e5ab21e8b26f', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:09:52: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'c04640bccd27', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:09:53: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e85378d12494', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:09:54: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'c04640bccd27', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:09:55: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e5ab21e8b26f', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:09:56: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'dca8ab82f8d8', 'rssi': -95, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:09:56: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'dfd349789bc1', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:09:57: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e5ab21e8b26f', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
