Testing SD card write operations: 2022-05-22 10:49:13
2022-05-22 10:50:07: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'c46ce48f1aa6', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:50:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bbeb0f082d7', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-22 10:50:09: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bbeb0f082d7', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-22 10:50:10: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'62ba1db87449', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-22 10:50:10: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e076ed7e8f50', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:50:11: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'c46ce48f1aa6', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:50:12: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'd10643d71e8f', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:50:13: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'3509b7704b99', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:50:14: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bbeb0f082d7', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-22 10:50:14: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bbeb0f082d7', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-22 10:50:15: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'dd774af616f1', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:50:16: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bbeb0f082d7', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-22 10:50:17: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bbeb0f082d7', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-22 10:50:17: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'c0288d505755', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:50:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bbeb0f082d7', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-22 10:50:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'59b669c3cd4d', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-22 10:50:20: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e076ed7e8f50', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:50:21: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'3509b7704b99', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:50:21: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'cdee0e40cf2f', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:50:22: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'59b669c3cd4d', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-22 10:50:23: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'dd774af616f1', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:50:24: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': b'c0288df7531e', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-22 10:50:25: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bbeb0f082d7', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
