Testing SD card write operations: 2022-07-03 15:18:18
2022-07-03 15:19:24: {'Acceleration': '(-0.3082275, -0.2529297, 0.9729004)', 'Roll': '17.57888', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '13.91941'}
2022-07-03 15:19:25: {'Acceleration': '(-0.3093262, -0.2470703, 0.9442139)', 'Roll': '18.61919', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '14.40859'}
2022-07-03 15:19:26: {'Acceleration': '(-0.310791, -0.2330322, 0.9562988)', 'Roll': '18.00383', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '13.04794'}
2022-07-03 15:19:27: {'Acceleration': '(-0.3027344, -0.217041, 0.9395752)', 'Roll': '17.85912', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '12.20407'}
2022-07-03 15:19:28: {'Acceleration': '(-0.3259277, -0.2113037, 0.9433594)', 'Roll': '19.05987', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '12.04011'}
2022-07-03 15:19:29: {'Acceleration': '(-0.3242188, -0.2028809, 0.9379883)', 'Roll': '18.87184', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '11.3483'}
2022-07-03 15:19:29: {'Acceleration': '(-0.2854004, -0.2139893, 0.9400635)', 'Roll': '16.88813', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '11.42486'}
2022-07-03 15:19:30: {'Acceleration': '(-0.3037109, -0.2003174, 0.9335938)', 'Roll': '18.02042', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '12.21952'}
2022-07-03 15:19:31: {'Acceleration': '(-0.2869873, -0.2202148, 0.907959)', 'Roll': '17.54068', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '13.02137'}
2022-07-03 15:19:32: {'Acceleration': '(-0.3010254, -0.2254639, 0.8896484)', 'Roll': '18.69399', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '13.499'}
2022-07-03 15:19:33: {'Acceleration': '(-0.3128662, -0.2259521, 0.932251)', 'Roll': '17.96327', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '12.98313'}
2022-07-03 15:19:34: {'Acceleration': '(-0.2773438, -0.2225342, 0.9234619)', 'Roll': '16.71661', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '12.99598'}
2022-07-03 15:19:35: {'Acceleration': '(-0.310791, -0.2056885, 0.9797363)', 'Roll': '17.60002', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '13.20725'}
2022-07-03 15:19:35: {'Acceleration': '(-0.293457, -0.2349854, 0.9263916)', 'Roll': '17.57686', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '13.59397'}
2022-07-03 15:19:36: {'Acceleration': '(-0.2770996, -0.2453613, 0.9693604)', 'Roll': '15.95302', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '13.17062'}
2022-07-03 15:19:37: {'Acceleration': '(-0.3148193, -0.2054443, 0.9412842)', 'Roll': '17.74758', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '11.52256'}
2022-07-03 15:19:38: {'Acceleration': '(-0.3546143, -0.1988525, 1.027954)', 'Roll': '19.03294', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.661649'}
2022-07-03 15:19:39: {'Acceleration': '(-0.3317871, -0.180542, 0.9655762)', 'Roll': '20.26871', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '8.292387'}
2022-07-03 15:19:40: {'Acceleration': '(-0.3398438, -0.1636963, 0.9967041)', 'Roll': '18.82771', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '8.835896'}
2022-07-03 15:19:41: {'Acceleration': '(-0.3493652, -0.1566162, 0.9718018)', 'Roll': '18.94889', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '7.469934'}
2022-07-03 15:19:42: {'Acceleration': '(-0.3372803, -0.1870117, 0.9442139)', 'Roll': '20.03067', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '10.54103'}
2022-07-03 15:19:42: {'Acceleration': '(-0.3175049, -0.1938477, 0.9393311)', 'Roll': '18.58816', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '11.31475'}
2022-07-03 15:19:43: {'Acceleration': '(-0.3171387, -0.1955566, 0.9572754)', 'Roll': '18.32967', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '10.97457'}
2022-07-03 15:19:44: {'Acceleration': '(-0.3250732, -0.1983643, 0.9405518)', 'Roll': '19.06616', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '11.27315'}
2022-07-03 15:19:45: {'Acceleration': '(-0.3082275, -0.1866455, 0.9639893)', 'Roll': '17.73124', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '10.44909'}
2022-07-03 15:19:46: {'Acceleration': '(-0.3199463, -0.1998291, 0.958252)', 'Roll': '18.46341', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '11.70613'}
2022-07-03 15:19:47: {'Acceleration': '(-0.3292236, -0.2017822, 0.9586182)', 'Roll': '19.05844', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '12.04209'}
2022-07-03 15:19:48: {'Acceleration': '(-0.3049316, -0.2138672, 0.9434814)', 'Roll': '17.91075', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '12.0017'}
2022-07-03 15:19:48: {'Acceleration': '(-0.3084717, -0.2047119, 0.9541016)', 'Roll': '18.72262', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '11.94595'}
2022-07-03 15:19:49: {'Acceleration': '(-0.3015137, -0.2089844, 0.9311523)', 'Roll': '17.94232', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '12.05288'}
2022-07-03 15:19:50: {'Acceleration': '(-0.3095703, -0.199585, 0.9475098)', 'Roll': '17.74867', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '11.55264'}
2022-07-03 15:19:51: {'Acceleration': '(-0.2689209, -0.1715088, 0.914917)', 'Roll': '16.37961', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '10.19566'}
2022-07-03 15:19:52: {'Acceleration': '(-0.3062744, -0.2105713, 0.9436035)', 'Roll': '17.98237', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '11.8617'}
2022-07-03 15:19:53: {'Acceleration': '(-0.3016357, -0.2116699, 0.9558105)', 'Roll': '17.51471', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '11.92502'}
2022-07-03 15:19:54: {'Acceleration': '(-0.3018799, -0.2016602, 0.9660645)', 'Roll': '17.3532', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '11.97084'}
2022-07-03 15:19:54: {'Acceleration': '(-0.3000488, -0.2108154, 0.9095459)', 'Roll': '18.25713', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '12.4136'}
2022-07-03 15:19:55: {'Acceleration': '(-0.303833, -0.2084961, 0.9733887)', 'Roll': '17.28298', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '11.87552'}
