Testing SD card write operations: 2022-07-03 15:16:38
2022-07-03 15:18:07: {'ssid':'iPhone', 'bssid':b'^\xf5\x13$\xd4j', 'sec':3, 'channel':6, 'rssi':-27}
2022-07-03 15:18:07: {'ssid':'iPhone', 'bssid':b'F\xb3\x07\xb8\x8cN', 'sec':3, 'channel':6, 'rssi':-79}
2022-07-03 15:18:09: {'ssid':'iPhone', 'bssid':b'^\xf5\x13$\xd4j', 'sec':3, 'channel':6, 'rssi':-28}
2022-07-03 15:18:11: {'ssid':'iPhone', 'bssid':b'^\xf5\x13$\xd4j', 'sec':3, 'channel':6, 'rssi':-28}
2022-07-03 15:18:11: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!\x91a\xbf', 'sec':0, 'channel':6, 'rssi':-83}
2022-07-03 15:18:12: {'ssid':'iPhone', 'bssid':b'^\xf5\x13$\xd4j', 'sec':3, 'channel':6, 'rssi':-27}
2022-07-03 15:18:14: {'ssid':'iPhone', 'bssid':b'^\xf5\x13$\xd4j', 'sec':3, 'channel':6, 'rssi':-26}
2022-07-03 15:18:16: {'ssid':'iPhone', 'bssid':b'^\xf5\x13$\xd4j', 'sec':3, 'channel':6, 'rssi':-39}
2022-07-03 15:18:16: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!$+\x9b', 'sec':0, 'channel':11, 'rssi':-77}
2022-07-03 15:18:16: {'ssid':'iPhone', 'bssid':b'F\xb3\x07\xb8\x8cN', 'sec':3, 'channel':6, 'rssi':-81}
2022-07-03 15:18:18: {'ssid':'iPhone', 'bssid':b'^\xf5\x13$\xd4j', 'sec':3, 'channel':6, 'rssi':-42}
2022-07-03 15:18:18: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!$+\x9b', 'sec':0, 'channel':11, 'rssi':-79}
2022-07-03 15:18:20: {'ssid':'iPhone', 'bssid':b'^\xf5\x13$\xd4j', 'sec':3, 'channel':6, 'rssi':-32}
2022-07-03 15:18:20: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!$+\x9b', 'sec':0, 'channel':11, 'rssi':-81}
2022-07-03 15:18:22: {'ssid':'iPhone', 'bssid':b'^\xf5\x13$\xd4j', 'sec':3, 'channel':6, 'rssi':-33}
2022-07-03 15:18:22: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!$+\x9b', 'sec':0, 'channel':11, 'rssi':-79}
2022-07-03 15:18:24: {'ssid':'iPhone', 'bssid':b'^\xf5\x13$\xd4j', 'sec':3, 'channel':6, 'rssi':-36}
2022-07-03 15:18:24: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!\x91a\xbf', 'sec':0, 'channel':6, 'rssi':-82}
2022-07-03 15:18:26: {'ssid':'iPhone', 'bssid':b'^\xf5\x13$\xd4j', 'sec':3, 'channel':6, 'rssi':-38}
2022-07-03 15:18:26: {'ssid':'iPhone', 'bssid':b'F\xb3\x07\xb8\x8cN', 'sec':3, 'channel':6, 'rssi':-82}
2022-07-03 15:18:27: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!$+\x9b', 'sec':0, 'channel':11, 'rssi':-81}
2022-07-03 15:18:29: {'ssid':'iPhone', 'bssid':b'^\xf5\x13$\xd4j', 'sec':3, 'channel':6, 'rssi':-33}
2022-07-03 15:18:31: {'ssid':'iPhone', 'bssid':b'^\xf5\x13$\xd4j', 'sec':3, 'channel':6, 'rssi':-37}
2022-07-03 15:18:31: {'ssid':'iPhone', 'bssid':b'F\xb3\x07\xb8\x8cN', 'sec':3, 'channel':6, 'rssi':-82}
2022-07-03 15:18:33: {'ssid':'iPhone', 'bssid':b'^\xf5\x13$\xd4j', 'sec':3, 'channel':6, 'rssi':-32}
2022-07-03 15:18:33: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!$+\x9b', 'sec':0, 'channel':11, 'rssi':-76}
2022-07-03 15:18:35: {'ssid':'iPhone', 'bssid':b'^\xf5\x13$\xd4j', 'sec':3, 'channel':6, 'rssi':-30}
2022-07-03 15:18:37: {'ssid':'iPhone', 'bssid':b'^\xf5\x13$\xd4j', 'sec':3, 'channel':6, 'rssi':-29}
2022-07-03 15:18:37: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!$+\x9b', 'sec':0, 'channel':11, 'rssi':-77}
2022-07-03 15:18:37: {'ssid':'iPhone', 'bssid':b'F\xb3\x07\xb8\x8cN', 'sec':3, 'channel':6, 'rssi':-81}
2022-07-03 15:18:39: {'ssid':'iPhone', 'bssid':b'^\xf5\x13$\xd4j', 'sec':3, 'channel':6, 'rssi':-29}
2022-07-03 15:18:39: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!$+\x9b', 'sec':0, 'channel':11, 'rssi':-76}
2022-07-03 15:18:39: {'ssid':'iPhone', 'bssid':b'F\xb3\x07\xb8\x8cN', 'sec':3, 'channel':6, 'rssi':-80}
2022-07-03 15:18:41: {'ssid':'iPhone', 'bssid':b'^\xf5\x13$\xd4j', 'sec':3, 'channel':6, 'rssi':-38}
2022-07-03 15:18:41: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!$+\x9b', 'sec':0, 'channel':11, 'rssi':-76}
