Testing SD card write operations: 2022-07-03 15:16:38
2022-07-03 15:17:26: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0579788eb05745adb693fcb52fa9c4386aee9bc7a40960466f1c09b5', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-03 15:17:27: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '18b105a30cdac1ed2cf5cb49a4abe4cd9f18ad2e1b093ce31b496ce7', 'rssi': -58, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-03 15:17:28: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '06e2613cd6b18fc01ac972550357ecc4c6516145cbc610726b425946', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 15:17:28: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '0d75595d2337e82a988090636ce54b26da20a30054aeafd47c87c908', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 15:17:29: {'adv_flag': 2, 'def_tx_pwr': 3, 'mac': '7724cb18c29fb69c44acc388e5fbde6f8551d559a7246d28b6d2bfde', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 15:17:30: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'c438a6f7e9bb7c7c3a515ae49ca4e1b3a7296c703039460ddcd52856', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-03 15:17:31: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e764660946fc23e3954b378bc262e8c1eb305ce524903f9a036ea113', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-03 15:17:32: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'c438a6f7e9bb7c7c3a515ae49ca4e1b3a7296c703039460ddcd52856', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-03 15:17:32: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'c438a6f7e9bb7c7c3a515ae49ca4e1b3a7296c703039460ddcd52856', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-03 15:17:33: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'ca329146901ed2e7a7939f0e38d8bde00ac21950e44f369345a0f68a', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
