Testing SD card write operations: 2022-09-11 17:00:49
2022-09-11 17:01:58: {'Acceleration': '(-0.1381836, -0.09179688, 1.033447)', 'Roll': '7.615921', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '4.576243'}
2022-09-11 17:01:59: {'Acceleration': '(-0.1055908, -0.1021729, 0.949707)', 'Roll': '6.344233', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '6.103146'}
2022-09-11 17:01:59: {'Acceleration': '(-0.1383057, -0.09716797, 1.006104)', 'Roll': '6.769813', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '4.549413'}
2022-09-11 17:02:00: {'Acceleration': '(-0.1306152, -0.1057129, 1.020874)', 'Roll': '7.291068', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '5.864516'}
2022-09-11 17:02:01: {'Acceleration': '(-0.1088867, -0.1156006, 0.9554443)', 'Roll': '6.909245', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '5.315521'}
2022-09-11 17:02:02: {'Acceleration': '(-0.1124268, -0.1324463, 0.9377441)', 'Roll': '6.298428', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '6.556917'}
2022-09-11 17:02:03: {'Acceleration': '(-0.1201172, -0.0970459, 0.9746094)', 'Roll': '7.026072', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '5.644009'}
2022-09-11 17:02:04: {'Acceleration': '(-0.1123047, -0.1395264, 1.048462)', 'Roll': '6.406184', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '7.086207'}
2022-09-11 17:02:05: {'Acceleration': '(-0.1213379, -0.09472656, 0.9779053)', 'Roll': '7.073074', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '6.648607'}
2022-09-11 17:02:06: {'Acceleration': '(-0.09338379, -0.1124268, 0.9847412)', 'Roll': '5.417204', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '6.484349'}
2022-09-11 17:02:06: {'Acceleration': '(-0.08886719, -0.1143799, 1.080322)', 'Roll': '4.63375', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '4.675767'}
2022-09-11 17:02:07: {'Acceleration': '(-0.05993652, -0.2415771, 0.9063721)', 'Roll': '3.783344', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '6.832981'}
2022-09-11 17:02:08: {'Acceleration': '(-0.09106445, -0.2213135, 0.9129639)', 'Roll': '7.231536', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '7.189578'}
2022-09-11 17:02:09: {'Acceleration': '(-0.1566162, -0.1099854, 0.8378906)', 'Roll': '10.5874', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '16.10995'}
2022-09-11 17:02:10: {'Acceleration': '(-0.125, -0.1424561, 1.002808)', 'Roll': '7.105272', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '8.023903'}
