Testing SD card write operations: 2022-07-07 16:03:57
2022-07-07 16:04:40: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '07ed538f52171da4a74285da13e2df4eacd4e2b500a481b27a3f806a37938f09', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:41: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'dfb9e417bf9b4b045a026d40ee5f6e47e99c1e991b8f87efbf5f7bb8b83a274d', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:41: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '8a94e387e6e2ba769fa35eb4c0845919e23ef2c4b2d7264576d462f0584312cd', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:42: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '3c04aaa03f16640d5a6da4a9ac54a0d35e9478e98f6e0a002aac9e26c35c4a1f', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:43: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '57bf852653be90fabfa8ac55388eead4a29f61c1cc2196048abede88ddee3043', 'rssi': -66, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:44: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'b0ea5bf0387ae3a66b830e1382d1e323bd9d60bb87876b461bcb1a33bd3bf15b', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6e9b02147e8bfeb9d12650d4d2421b26223581518636e34ab022090fcc5a2570', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:46: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '57bf852653be90fabfa8ac55388eead4a29f61c1cc2196048abede88ddee3043', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:46: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'b0ea5bf0387ae3a66b830e1382d1e323bd9d60bb87876b461bcb1a33bd3bf15b', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '502635b84af12a178a7b3222e8ef632f90d48307f0534e8b14f69f9c155a74c4', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 5, 'adv_tx_pwr': 3}
2022-07-07 16:04:48: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '502635b84af12a178a7b3222e8ef632f90d48307f0534e8b14f69f9c155a74c4', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 5, 'adv_tx_pwr': 3}
2022-07-07 16:04:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5edef026a5a04a768a68e3eb55f42442ad0f9013216c0eb83887aa4bbc12006e', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:50: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6e9b02147e8bfeb9d12650d4d2421b26223581518636e34ab022090fcc5a2570', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:50: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '57bf852653be90fabfa8ac55388eead4a29f61c1cc2196048abede88ddee3043', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:51: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'feda24edacafc1f697ff22bcbbc922dfc7123ce79c3c308f61ffebb3e6f56ebd', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 5, 'adv_tx_pwr': 3}
2022-07-07 16:04:52: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5c8c10cdaadbfb7b439e635005e877b77db4874624adac80b3d50f9b8a1699ab', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:53: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '63060931d8eb94a5af4e2e99ef2ecd4aca5331613b236385baf196dcab60c60a', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:54: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5c8c10cdaadbfb7b439e635005e877b77db4874624adac80b3d50f9b8a1699ab', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:54: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '70c9f679983e48bd141ef5190e7517f2f8288b71d8901ec7f27826a6f20abed8', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 5, 'adv_tx_pwr': 3}
2022-07-07 16:04:55: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '57bf852653be90fabfa8ac55388eead4a29f61c1cc2196048abede88ddee3043', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:56: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '48fdfa6701d2385251886c55d4ba904b4763834a229ac25d06c135cdd26a4e90', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f838d0f4fd15906fd233efcc1b264f06e4e5e2721a1ad427f51ccc0b8a46b405', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:58: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5e955c1caaa9b4d4f47b72b1c240f1d09de0724cde4bff66aefcc78d67eabfdf', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:58: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '57bf852653be90fabfa8ac55388eead4a29f61c1cc2196048abede88ddee3043', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:59: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '63060931d8eb94a5af4e2e99ef2ecd4aca5331613b236385baf196dcab60c60a', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:05:00: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '3c04aaa03f16640d5a6da4a9ac54a0d35e9478e98f6e0a002aac9e26c35c4a1f', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:05:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'c8d7cde25c78830c0293eb633f3b0e3e4f944bd22a210d52265ea42f16442f0e', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:05:02: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '57bf852653be90fabfa8ac55388eead4a29f61c1cc2196048abede88ddee3043', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:05:03: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5c8c10cdaadbfb7b439e635005e877b77db4874624adac80b3d50f9b8a1699ab', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:05:03: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b1d0cb098a58d2211a3d5e87019f7d7baa948cef808082bcba29610e99e15f32', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:05:04: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '57bf852653be90fabfa8ac55388eead4a29f61c1cc2196048abede88ddee3043', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:05:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6e9b02147e8bfeb9d12650d4d2421b26223581518636e34ab022090fcc5a2570', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:05:06: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '48fdfa6701d2385251886c55d4ba904b4763834a229ac25d06c135cdd26a4e90', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
