Testing SD card write operations: 2022-05-25 18:26:53
2022-05-25 18:28:58: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-62}
2022-05-25 18:28:58: {'ssid':'AndroidAP7D11', 'bssid':b'\xceY\x07\x1dg\xbb', 'sec':3, 'channel':6, 'rssi':-88}
2022-05-25 18:29:02: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-63}
2022-05-25 18:29:04: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-63}
2022-05-25 18:29:04: {'ssid':'AndroidAP7D11', 'bssid':b'\xceY\x07\x1dg\xbb', 'sec':3, 'channel':6, 'rssi':-93}
2022-05-25 18:29:06: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-63}
2022-05-25 18:29:08: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-63}
2022-05-25 18:29:09: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-64}
2022-05-25 18:29:11: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-60}
2022-05-25 18:29:13: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-62}
2022-05-25 18:29:15: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-62}
2022-05-25 18:29:17: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-71}
2022-05-25 18:29:19: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-64}
2022-05-25 18:29:21: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-64}
2022-05-25 18:29:22: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-64}
2022-05-25 18:29:24: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-63}
2022-05-25 18:29:26: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-64}
2022-05-25 18:29:28: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-63}
2022-05-25 18:29:30: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-62}
2022-05-25 18:29:32: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-62}
2022-05-25 18:29:33: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-64}
2022-05-25 18:29:35: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-64}
2022-05-25 18:29:37: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-63}
2022-05-25 18:29:37: {'ssid':'AndroidAP7D11', 'bssid':b'\xceY\x07\x1dg\xbb', 'sec':3, 'channel':6, 'rssi':-92}
2022-05-25 18:29:39: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-63}
2022-05-25 18:29:41: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-63}
2022-05-25 18:29:43: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-63}
2022-05-25 18:29:46: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-64}
2022-05-25 18:29:48: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-64}
2022-05-25 18:29:50: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-64}
2022-05-25 18:29:52: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-63}
2022-05-25 18:29:56: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-64}
2022-05-25 18:29:57: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-64}
2022-05-25 18:29:59: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-66}
2022-05-25 18:30:01: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-65}
2022-05-25 18:30:03: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-65}
2022-05-25 18:30:05: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-66}
2022-05-25 18:30:07: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-65}
2022-05-25 18:30:09: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-65}
2022-05-25 18:30:12: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-61}
2022-05-25 18:30:14: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-68}
2022-05-25 18:30:16: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-65}
