Testing SD card write operations: 2022-06-30 13:58:22
2022-06-30 13:59:28: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'6989c51eb1e6', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-30 13:59:29: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'18bc7a18c9b7', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:30: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1d9437f46aad', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:30: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'18bc7a18c9b7', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:31: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7736015ad6d6', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-06-30 13:59:32: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1d9437f46aad', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:33: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7fe37e2a4e66', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 26, 'adv_tx_pwr': 3}
2022-06-30 13:59:34: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1f0e9b0edb3c', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:34: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'18bc7a18c9b7', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:35: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'18bc7a18c9b7', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:36: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'18bc7a18c9b7', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:37: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1f0e9b0edb3c', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:38: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'18bc7a18c9b7', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:38: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'18bc7a18c9b7', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:39: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1f0e9b0edb3c', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:40: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'18bc7a18c9b7', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:41: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1f0e9b0edb3c', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:41: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'18bc7a18c9b7', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:42: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'6ef603438387', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 13:59:43: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'd64d4283b614', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'18bc7a18c9b7', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'18bc7a18c9b7', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:45: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1f0e9b0edb3c', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:46: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'18bc7a18c9b7', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'18bc7a18c9b7', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:48: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1f0e9b0edb3c', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'6989c51eb1e6', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-30 13:59:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'18bc7a18c9b7', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:50: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'18bc7a18c9b7', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
