Testing SD card write operations: 2022-09-14 09:38:06
2022-09-14 09:39:13: {'Acceleration': '(-0.1585693, 0.02331543, 1.006714)', 'Roll': '8.601043', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.194512'}
2022-09-14 09:39:14: {'Acceleration': '(-0.1540527, 0.02099609, 1.008179)', 'Roll': '8.769097', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.179114'}
2022-09-14 09:39:14: {'Acceleration': '(-0.1550293, 0.02282715, 1.005981)', 'Roll': '8.815112', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.28455'}
2022-09-14 09:39:15: {'Acceleration': '(-0.1569824, 0.01623535, 1.004028)', 'Roll': '8.368894', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-0.916541'}
2022-09-14 09:39:16: {'Acceleration': '(-0.1555176, 0.02233887, 1.006104)', 'Roll': '8.786903', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.257026'}
2022-09-14 09:39:17: {'Acceleration': '(-0.1507568, 0.02209473, 0.9998779)', 'Roll': '8.895382', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-1.250662'}
2022-09-14 09:39:18: {'Acceleration': '(-0.1544189, 0.02197266, 1.006104)', 'Roll': '8.725788', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.236628'}
2022-09-14 09:39:19: {'Acceleration': '(-0.1556396, 0.02270508, 1.004883)', 'Roll': '8.804207', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.279117'}
2022-09-14 09:39:19: {'Acceleration': '(-0.152832, 0.02087402, 0.9985352)', 'Roll': '8.701944', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.183792'}
2022-09-14 09:39:20: {'Acceleration': '(-0.1556396, 0.02294922, 1.009888)', 'Roll': '8.761253', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.286611'}
2022-09-14 09:39:21: {'Acceleration': '(-0.1524658, 0.02246094, 1.004028)', 'Roll': '8.634631', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.267019'}
2022-09-14 09:39:22: {'Acceleration': '(-0.1523438, 0.01977539, 1.008301)', 'Roll': '8.59181', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.110969'}
2022-09-14 09:39:23: {'Acceleration': '(-0.1560059, 0.02160645, 1.003906)', 'Roll': '8.833046', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.218333'}
2022-09-14 09:39:24: {'Acceleration': '(-0.1556396, 0.02160645, 1.001465)', 'Roll': '8.833783', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.221299'}
2022-09-14 09:39:24: {'Acceleration': '(-0.152832, 0.02148438, 1.009888)', 'Roll': '8.605595', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.205011'}
2022-09-14 09:39:25: {'Acceleration': '(-0.154541, 0.02050781, 1.004639)', 'Roll': '8.745115', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.155832'}
2022-09-14 09:39:26: {'Acceleration': '(-0.1541748, 0.02355957, 1.004639)', 'Roll': '8.724712', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.327846'}
2022-09-14 09:39:27: {'Acceleration': '(-0.1531982, 0.02197266, 1.00415)', 'Roll': '8.674442', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.239202'}
2022-09-14 09:39:28: {'Acceleration': '(-0.154541, 0.01940918, 1.005493)', 'Roll': '8.737798', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.238445'}
2022-09-14 09:39:29: {'Acceleration': '(-0.1536865, 0.02209473, 1.003052)', 'Roll': '8.695423', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.258906'}
2022-09-14 09:39:29: {'Acceleration': '(-0.1557617, 0.0234375, 1.008179)', 'Roll': '8.780556', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.315815'}
2022-09-14 09:39:30: {'Acceleration': '(-0.1549072, 0.0222168, 1.008667)', 'Roll': '8.781273', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.275717'}
2022-09-14 09:39:31: {'Acceleration': '(-0.1529541, 0.02233887, 1.005371)', 'Roll': '8.682557', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.251228'}
2022-09-14 09:39:32: {'Acceleration': '(-0.1535645, 0.02197266, 1.003418)', 'Roll': '8.627635', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.241469'}
2022-09-14 09:39:33: {'Acceleration': '(-0.1520996, 0.02087402, 0.9970703)', 'Roll': '8.549973', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.186007'}
2022-09-14 09:39:34: {'Acceleration': '(-0.1542969, 0.01831055, 0.9989014)', 'Roll': '8.459193', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.038731'}
2022-09-14 09:39:35: {'Acceleration': '(-0.1530762, 0.02038574, 1.002197)', 'Roll': '8.779721', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.151645'}
2022-09-14 09:39:35: {'Acceleration': '(-0.1517334, 0.02050781, 1.00061)', 'Roll': '8.622688', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.160863'}
2022-09-14 09:39:36: {'Acceleration': '(-0.1517334, 0.02258301, 1.006714)', 'Roll': '8.571189', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.270719'}
2022-09-14 09:39:37: {'Acceleration': '(-0.1542969, 0.02075195, 1.004517)', 'Roll': '8.732557', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.16977'}
2022-09-14 09:39:38: {'Acceleration': '(-0.1555176, 0.02258301, 1.004272)', 'Roll': '8.802673', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.273021'}
2022-09-14 09:39:39: {'Acceleration': '(-0.1531982, 0.02160645, 1.003906)', 'Roll': '8.676519', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.218845'}
2022-09-14 09:39:40: {'Acceleration': '(-0.1517334, 0.02197266, 1.004639)', 'Roll': '8.58863', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.238882'}
2022-09-14 09:39:40: {'Acceleration': '(-0.1535645, 0.02258301, 1.005371)', 'Roll': '8.684466', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.184455'}
2022-09-14 09:39:41: {'Acceleration': '(-0.154541, 0.0222168, 1.006348)', 'Roll': '8.730494', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.293824'}
2022-09-14 09:39:42: {'Acceleration': '(-0.154541, 0.0234375, 1.005371)', 'Roll': '8.738843', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.126915'}
2022-09-14 09:39:43: {'Acceleration': '(-0.1522217, 0.02258301, 1.005737)', 'Roll': '8.780997', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.189758'}
2022-09-14 09:39:44: {'Acceleration': '(-0.1535645, 0.0222168, 1.010254)', 'Roll': '8.605737', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.219667'}
2022-09-14 09:39:45: {'Acceleration': '(-0.1520996, 0.02197266, 1.025879)', 'Roll': '8.417657', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.160752'}
2022-09-14 09:39:45: {'Acceleration': '(-0.1484375, 0.02197266, 1.002319)', 'Roll': '8.423933', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.242282'}
2022-09-14 09:39:46: {'Acceleration': '(-0.152832, 0.02124023, 1.004883)', 'Roll': '8.647809', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.19712'}
2022-09-14 09:39:47: {'Acceleration': '(-0.1544189, 0.0234375, 1.010376)', 'Roll': '8.689454', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.313594'}
2022-09-14 09:39:48: {'Acceleration': '(-0.1525879, 0.02111816, 1.004028)', 'Roll': '8.64144', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.190285'}
2022-09-14 09:39:49: {'Acceleration': '(-0.1542969, 0.0213623, 1.005005)', 'Roll': '8.72838', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '-1.118429'}
2022-09-14 09:39:50: {'Acceleration': '(-0.1533203, 0.0213623, 1.005127)', 'Roll': '8.672943', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.268484'}
2022-09-14 09:39:50: {'Acceleration': '(-0.1522217, 0.02038574, 1.00415)', 'Roll': '8.61998', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.182866'}
2022-09-14 09:39:51: {'Acceleration': '(-0.1531982, 0.0213623, 1.005005)', 'Roll': '8.667179', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.270892'}
2022-09-14 09:39:52: {'Acceleration': '(-0.1502686, 0.02075195, 1.006104)', 'Roll': '8.672367', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.273311'}
