Testing SD card write operations: 1970-01-01 02:00:06
2023-01-26 22:02:33: {'Acceleration': '(0.2808838, 0.8023682, 0.5214844)', 'Roll': '-28.30795', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.56476'}
2023-01-26 22:02:34: {'Acceleration': '(0.2769775, 0.8029785, 0.5174561)', 'Roll': '-28.15871', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.83577'}
2023-01-26 22:02:34: {'Acceleration': '(0.2750244, 0.8028564, 0.5239258)', 'Roll': '-28.04751', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-53.51879'}
2023-01-26 22:02:35: {'Acceleration': '(0.2762451, 0.803833, 0.5275879)', 'Roll': '-27.63656', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.7725'}
2023-01-26 22:02:36: {'Acceleration': '(0.2763672, 0.8041992, 0.520874)', 'Roll': '-27.94969', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-53.49288'}
2023-01-26 22:02:37: {'Acceleration': '(0.2788086, 0.8029785, 0.5253906)', 'Roll': '-27.95351', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.47177'}
2023-01-26 22:02:38: {'Acceleration': '(0.2773438, 0.8041992, 0.5272217)', 'Roll': '-27.74651', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.47037'}
2023-01-26 22:02:39: {'Acceleration': '(0.276001, 0.8029785, 0.5231934)', 'Roll': '-27.81306', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.62204'}
2023-01-26 22:02:40: {'Acceleration': '(0.2796631, 0.8017578, 0.5257568)', 'Roll': '-27.76509', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.31902'}
2023-01-26 22:02:40: {'Acceleration': '(0.2805176, 0.8044434, 0.5231934)', 'Roll': '-28.19862', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.60859'}
2023-01-26 22:02:41: {'Acceleration': '(0.2747803, 0.8024902, 0.5185547)', 'Roll': '-27.91896', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.67879'}
2023-01-26 22:02:42: {'Acceleration': '(0.2792969, 0.8027344, 0.522583)', 'Roll': '-28.12248', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.56719'}
2023-01-26 22:02:43: {'Acceleration': '(0.2775879, 0.8027344, 0.5258789)', 'Roll': '-27.82756', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.46986'}
2023-01-26 22:02:44: {'Acceleration': '(0.2791748, 0.8011475, 0.5174561)', 'Roll': '-28.34748', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.72506'}
2023-01-26 22:02:45: {'Acceleration': '(0.2764893, 0.8031006, 0.5245361)', 'Roll': '-27.92557', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-53.71757'}
