Testing SD card write operations: 2023-01-26 21:58:17
2023-01-26 21:59:01: {'name': None, 'adv_flag': None, 'rssi': -76, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'de2e354e00c6e15d3476d44e3327471592d0346889da698424bd2b154a1dbbf0', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 21:59:01: {'name': None, 'adv_flag': 26, 'rssi': -92, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '156a37474bd59400294b64a7721de7d929ac9cb506b12012bf5b99f68e08b121', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 21:59:02: {'name': None, 'adv_flag': 26, 'rssi': -92, 'adv_tx_pwr': 0, 'tx_range': 8, 'def_tx_pwr': 0, 'mac': '4c20c9f6ab4c11ee1524e89d60271967311c7112b86d2dafc5acef6475d2af58', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 21:59:03: {'name': None, 'adv_flag': 26, 'rssi': -79, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '041aea07b92eab1ba677715aee789ce7336496283e1ee8940b4f6dd5e094afa4', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 21:59:04: {'name': 'Rb20', 'adv_flag': 6, 'rssi': -84, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'aa1c1c1ecff1fde1bc284d0ec7c8c938f62d5e8c7b8f34a4e8683de8c2c0d402', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 21:59:04: {'name': None, 'adv_flag': None, 'rssi': -61, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'a8b48dfb3511c78df2ff970fb3cb8e61a08ee770ce545d8ad041d1b5821d1492', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 21:59:05: {'name': None, 'adv_flag': 26, 'rssi': -83, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '041aea07b92eab1ba677715aee789ce7336496283e1ee8940b4f6dd5e094afa4', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 21:59:06: {'name': None, 'adv_flag': None, 'rssi': -97, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '3fa2d4a0801f2f5312084b596a585d2384bda79833716302d693e569869e0f05', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 21:59:07: {'name': None, 'adv_flag': 26, 'rssi': -65, 'adv_tx_pwr': 0, 'tx_range': 6, 'def_tx_pwr': 0, 'mac': '86c772429019ddd88e56bb72bdbe3deebcd14cf819cc313bb099ec883609e73e', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 21:59:08: {'name': None, 'adv_flag': 26, 'rssi': -73, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '5ed6f9a59f33d4e1c71bbfc5e4106ddc818f0e5f1e9bbd5350f938637556c6ef', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 21:59:08: {'name': None, 'adv_flag': 26, 'rssi': -74, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': 'a4cf39e2b560204ee6166b6a22da36f3bf4cd01135fc524b678f93466732e223', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 21:59:09: {'name': None, 'adv_flag': 26, 'rssi': -77, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': 'a4cf39e2b560204ee6166b6a22da36f3bf4cd01135fc524b678f93466732e223', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 21:59:10: {'name': None, 'adv_flag': 26, 'rssi': -85, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '041aea07b92eab1ba677715aee789ce7336496283e1ee8940b4f6dd5e094afa4', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 21:59:11: {'name': None, 'adv_flag': 26, 'rssi': -77, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '231ba77b59614d3e34ad6f04853873cdb57bb155c829e21f998b4107413b6f14', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 21:59:11: {'name': None, 'adv_flag': 26, 'rssi': -86, 'adv_tx_pwr': 0, 'tx_range': 8, 'def_tx_pwr': 0, 'mac': '41c45c0df08e47ea405a675352cf13fbe3aa78feb4fb7ccc257c8da738cc25f6', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 21:59:12: {'name': None, 'adv_flag': 26, 'rssi': -69, 'adv_tx_pwr': 0, 'tx_range': 6, 'def_tx_pwr': 0, 'mac': '86c772429019ddd88e56bb72bdbe3deebcd14cf819cc313bb099ec883609e73e', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 21:59:13: {'name': None, 'adv_flag': 26, 'rssi': -68, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': 'a4cf39e2b560204ee6166b6a22da36f3bf4cd01135fc524b678f93466732e223', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 21:59:14: {'name': None, 'adv_flag': 26, 'rssi': -78, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': 'a4cf39e2b560204ee6166b6a22da36f3bf4cd01135fc524b678f93466732e223', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 21:59:15: {'name': None, 'adv_flag': 26, 'rssi': -80, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '041aea07b92eab1ba677715aee789ce7336496283e1ee8940b4f6dd5e094afa4', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 21:59:15: {'name': None, 'adv_flag': 26, 'rssi': -69, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '5ed6f9a59f33d4e1c71bbfc5e4106ddc818f0e5f1e9bbd5350f938637556c6ef', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 21:59:16: {'name': None, 'adv_flag': 26, 'rssi': -84, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '041aea07b92eab1ba677715aee789ce7336496283e1ee8940b4f6dd5e094afa4', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 21:59:17: {'name': None, 'adv_flag': 26, 'rssi': -65, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '231ba77b59614d3e34ad6f04853873cdb57bb155c829e21f998b4107413b6f14', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 21:59:18: {'name': None, 'adv_flag': 26, 'rssi': -89, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '6fc8097b3d7f6d7f05fedab7b420aa3fbb1ee7ccd8cf52d6ae233da4b607851a', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
